Name,monsterID,level,ME_Born,ME_Update,ME_AttackGo,ME_SkillGO,ME_Deadth,Addedvalue,PT_HpMax,PT_MpMax,PT_Attack,PT_Defense,PT_Agile,PT_Spirit,PT_Reply,PT_Magicattack,PT_Magicdefense,PT_Hit,PT_Dodge,PT_Crit,PT_counterpunch,PT_NoSleep,PT_NoPetrifaction,PT_NoDrunk,PT_NoChaos,PT_NoForget,PT_NoPoison,PT_Assassinate,DropID
999,0,1,"DefaultPlayer_Battle_Bron(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","DefaultPlayer_Battle_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"DefaultPlayer_Battle_Death(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,
901,0,1,"GongShou_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","GongShou_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,100901
902,0,1,"ChuanJiao_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","ChuanJiao_Updata(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,100902
903,0,1,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,100903
904,0,1,"FaShi_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","FaShi_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,100904
905,0,1,"GeDou_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","GeDou_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,100905
906,0,1,"RenZhe_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","RenZhe_update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,
907,0,1,"WuShi_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","WuShi_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,
908,0,1,"ZhanFu_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","ZhanFu_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,
909,0,1,"JianShi_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","JianShi_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,
910,0,1,"QiShi_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","QiShi_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,
911,0,1,"GongShou1_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","GongShou1_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,
912,0,1,"ChuanJiao1_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","ChuanJiao1_Updata(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,
913,0,1,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,,,,,,,,,,,,,,,,,,,,
914,0,1,"FaShi1_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","FaShi1_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,,,,,,,,,,,,,,,,,,,,,,,
915,0,1,"GeDou1_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","GeDou1_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,,,,,,,,,,,,,,,,,,,,,,,
916,0,1,"RenZhe_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","RenZhe_update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,,,,,,,,,,,,,,,,,,,,,,,
917,0,1,"WuShi1_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","WuShi1_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,,,,,,,,,,,,,,,,,,,,,,,
918,0,1,"ZhnFu1_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","ZhnFu1_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,,,,,,,,,,,,,,,,,,,,,,,
919,0,1,"JianShi1_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","JianShi1_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,,,,,,,,,,,,,,,,,,,,,,,
920,0,1,"QiShi1_Born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","QiShi1_Update(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,,,,,,,,,,,,,,,,,,,,,,,
10001,1010,40,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,110001
10002,1020,40,"AI_born_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_update_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,110002
10003,1030,50,"AI_guid_wushi_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_guid_wushi_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,110003
10004,1040,50,"AI_guid_chuanjiao_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_guid_chuanjiao_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,110004
10005,1050,100,"AI_guid_renzhe_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_guid_renzhe_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,110005
10006,1060,50,"AI_guid_fashi_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_guid_fashi_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,110006
10007,1070,50,"AI_guid_gongjian_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_guid_gongjian_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,110007
10008,1080,50,"AI_guid_zhanfu_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","AI_guid_zhanfu_born(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,"test_deadth_event(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",0,,,,,,,,,,,,,,,,,,,,,110008
