ID,AtName,Category,type,target,DropID,desc,title
1,升级,ACH_Growup,AT_RoleLevel,2,320044,主角等级达到2级,
2,等级10,ACH_Growup,AT_RoleLevel,10,300001,主角等级达到10级,66
3,等级20,ACH_Growup,AT_RoleLevel,20,300002,主角等级达到20级,
4,等级30,ACH_Growup,AT_RoleLevel,30,300003,主角等级达到30级,
5,等级40,ACH_Growup,AT_RoleLevel,40,300004,主角等级达到40级,
6,等级50,ACH_Growup,AT_RoleLevel,50,300005,主角等级达到50级,
7,等级60,ACH_Growup,AT_RoleLevel,60,300006,主角等级达到60级,
8,战斗,ACH_Growup,AT_KillMonster,50,300007,击杀怪物50只,67
9,驱魔者,ACH_Growup,AT_KillMonster,100,300008,击杀怪物100只,
10,斩魔者,ACH_Growup,AT_KillMonster,1000,300009,击杀怪物1000只,
11,鬼见愁,ACH_Growup,AT_KillMonster,10000,300010,击杀怪物10000只,68
12,宠物等级5,ACH_Pet,AT_PetLevel,5,300011,宠物等级达到5级,
13,宠物等级10,ACH_Pet,AT_PetLevel,10,300012,宠物等级达到10级,69
14,宠物等级20,ACH_Pet,AT_PetLevel,20,300013,宠物等级达到20级,
15,宠物等级30,ACH_Pet,AT_PetLevel,30,300014,宠物等级达到30级,
16,宠物等级40,ACH_Pet,AT_PetLevel,40,300015,宠物等级达到40级,
17,宠物等级50,ACH_Pet,AT_PetLevel,50,300016,宠物等级达到50级,
18,宠物等级60,ACH_Pet,AT_PetLevel,60,300017,宠物等级达到60级,
19,可以养你么？,ACH_Pet,AT_CatchPet,1,300018,第一次捕捉宠物,
20,捉捉捉,ACH_Pet,AT_CatchPet,5,300019,成功捕捉5只宠物,
21,宠物成群,ACH_Pet,AT_CatchPet,30,300020,成功捕捉30只宠物,
22,放过它,ACH_Pet,AT_CatchPet,100,300021,成功捕捉100只宠物,
23,锋利！,ACH_Growup,AT_MakeEquipment,10,300022,打造了10件装备,
24,防护！,ACH_Growup,AT_MakeEquipment,100,300023,打造了100件装备,
25,这是什么？！,ACH_Growup,AT_PartnerCard,1,300024,第一次招募伙伴,72
26,招募招募,ACH_Partner,AT_PartnerCard,50,300025,获得50个伙伴,
27,雇佣兵团,ACH_Partner,AT_PartnerCard,100,300026,获得100个伙伴,
28,雇佣兵王,ACH_Partner,AT_PartnerCard,500,300027,获得500个伙伴,73
29,绿卡！,ACH_Partner,AT_PartnersUpgradeGreen,1,300028,第一次将伙伴升级为绿色,
30,蓝卡！,ACH_Partner,AT_PartnersUpgradeBlue,1,300029,第一次将伙伴升级为蓝色,
31,紫卡！,ACH_Partner,AT_PartnersUpgradePurple,1,300030,第一次将伙伴升级为紫色,
32,金卡！,ACH_Partner,AT_PartnersUpgradeGold,1,300031,第一次将伙伴升级为金色,
33,初尝胜果,ACH_Growup,AT_ArenaWin,1,300034,第一次获得武斗场胜利,
34,五百胜！,ACH_Growup,AT_ArenaWin,500,300035,获得500次武斗场的胜利,76
40,买,ACH_Growup,AT_SpendDiamond,1000,300045,累计花费1000个水晶,80
41,买买买,ACH_Growup,AT_SpendDiamond,10000,300046,累计花费10000个水晶,81
42,散财童子,ACH_Growup,AT_SpendDiamond,50000,300047,累计花费50000个水晶,82
