Lv,Exp,JobType,Item,HpMax,MpMax,HpCurr,MpCurr,Attack,Icon,Defense,Agile,Spirit,Reply,Hit,Dodge,Crit,counterpunch,Magicattack,Magicdefense,NoSleep,NoPetrifaction,NoDrunk,NoChaos,NoForget,Wind,Land,Water,Fire,PT_SneakAttack,Poison
1,5,JT_Axe,8001,30,20,,,6,shenfu,5,,3,5,,,,,,,,,,,,,,,,,
2,100,JT_Axe,8001,45,32,,,10,shenfu,8,,5,8,,,,,,,,,,,,,,,,,
3,150,JT_Axe,8001,60,38,,,14,shenfu,11,,7,11,,,,,,,,,,,,,,,,,
4,200,JT_Axe,8001,75,48,,,18,shenfu,14,,9,14,,,,,,,,,,,,,,,,,
5,250,JT_Axe,8001,90,57,,,22,shenfu,17,,11,17,,,,,,,,,,,,,,,,,
6,300,JT_Axe,8001,121 ,82 ,,,42 ,shenfu,36 ,,21 ,20,,,,,,,,,,,,,,,,,
7,350,JT_Axe,8001,138 ,93 ,,,48 ,shenfu,41 ,,24 ,23,,,,,,,,,,,,,,,,,
8,400,JT_Axe,8001,155 ,104 ,,,54 ,shenfu,46 ,,27 ,26,,,,,,,,,,,,,,,,,
9,450,JT_Axe,8001,172 ,115 ,,,60 ,shenfu,51 ,,30 ,29,,,,,,,,,,,,,,,,,
10,500,JT_Axe,8001,189 ,126 ,,,66 ,shenfu,56 ,,33 ,32,,,,,,,,,,,,,,,,,
11,1000,JT_Axe,8001,219 ,150 ,,,85 ,shenfu,74 ,,42 ,35,,,,,,,,,,,,,,,,,
12,1050,JT_Axe,8001,237 ,162 ,,,92 ,shenfu,80 ,,46 ,38,,,,,,,,,,,,,,,,,
13,1100,JT_Axe,8001,255 ,174 ,,,99 ,shenfu,86 ,,49 ,41,,,,,,,,,,,,,,,,,
14,1150,JT_Axe,8001,273 ,186 ,,,106 ,shenfu,92 ,,53 ,44,,,,,,,,,,,,,,,,,
15,1200,JT_Axe,8001,291 ,198 ,,,113 ,shenfu,98 ,,56 ,47,,,,,,,,,,,,,,,,,
16,1250,JT_Axe,8001,327 ,228 ,,,138 ,shenfu,122 ,,69 ,50,,,,,,,,,,,,,,,,,
17,1300,JT_Axe,8001,346 ,241 ,,,146 ,shenfu,129 ,,73 ,53,,,,,,,,,,,,,,,,,
18,1350,JT_Axe,8001,365 ,254 ,,,154 ,shenfu,136 ,,77 ,56,,,,,,,,,,,,,,,,,
19,1400,JT_Axe,8001,384 ,267 ,,,162 ,shenfu,143 ,,81 ,59,,,,,,,,,,,,,,,,,
20,1450,JT_Axe,8001,403 ,280 ,,,170 ,shenfu,150 ,,85 ,62,,,,,,,,,,,,,,,,,
21,1500,JT_Axe,8001,467 ,338 ,,,223 ,shenfu,202 ,,111 ,65,,,,,,,,,,,,,,,,,
22,1600,JT_Axe,8001,488 ,353 ,,,233 ,shenfu,211 ,,116 ,68,,,,,,,,,,,,,,,,,
23,1700,JT_Axe,8001,509 ,368 ,,,243 ,shenfu,220 ,,121 ,71,,,,,,,,,,,,,,,,,
24,1800,JT_Axe,8001,530 ,383 ,,,253 ,shenfu,229 ,,126 ,74,,,,,,,,,,,,,,,,,
25,1900,JT_Axe,8001,551 ,398 ,,,263 ,shenfu,238 ,,131 ,77,,,,,,,,,,,,,,,,,
26,2000,JT_Axe,8001,627 ,468 ,,,328 ,shenfu,302 ,,164 ,80,,,,,,,,,,,,,,,,,
27,2100,JT_Axe,8001,650 ,485 ,,,340 ,shenfu,313 ,,170 ,83,,,,,,,,,,,,,,,,,
28,2200,JT_Axe,8001,673 ,502 ,,,352 ,shenfu,324 ,,176 ,86,,,,,,,,,,,,,,,,,
29,2300,JT_Axe,8001,696 ,519 ,,,364 ,shenfu,335 ,,182 ,89,,,,,,,,,,,,,,,,,
30,2400,JT_Axe,8001,719 ,536 ,,,376 ,shenfu,346 ,,188 ,92,,,,,,,,,,,,,,,,,
