ID,BattleType,dialogue1,dialogue2,BP_Up0,BP_Up1,BP_Up2,BP_Up3,BP_Up4,BP_Up5,BP_Up6,BP_Up7,BP_Up8,BP_Up9,BP_Down0,BP_Down1,BP_Down2,BP_Down3,BP_Down4,BP_Down5,BP_Down6,BP_Down7,BP_Down8,BP_Down9,BattleName
1,BT_PVE,10000,10001,10002,10003,10005,10009,10001,,,,,,10004,10006,,10007,10008,,,,,,
2,BT_PVE,7011,7012,,,50000,,,,,,,,,,,,,,,,,,
3,BT_PVE,7015,7016,,,10,,,,,,,,,,,,,,,,,,
4,BT_PVE,,,,,1,,,,,,,,,,,,,,,,,,
5,BT_PVE,7019,7020,,,3,,,,,,,,,,,,,,,,,,
6,BT_PVE,,,,,1,,,,,,,,,,,,,,,,,,
7,BT_PVE,7013,7014,,,6,,,,,,,,,,,,,,,,,,
8,BT_PVE,7023,7024,,,4,,,,,,,,,,,,,,,,,,
9,BT_PVE,7025,7026,,70005,12,70005,,,,,,,,,,,,,,,,,
10,BT_PVE,7027,7028,,70005,14,70005,,,,,,,,,,,,,,,,,
11,BT_PVE,7029,7030,,70009,16,70009,,,,,,,,,,,,,,,,,
12,BT_PVE,7031,7032,70027,70027,48,70027,70027,,,,,,,,,,,,,,,,
13,BT_PVE,7033,7034,,,8,,,,,,,,,,,,,,,,,,
14,BT_PVE,7035,7036,,70017,26,70017,,,,,,,,,,,,,,,,,
15,BT_PVE,7037,7038,,,28,,,,70013,,70013,,,,,,,,,,,,
16,BT_PVE,7039,7040,,,30,,,,,,,,,,,,,,,,,,
17,BT_PVE,7041,7042,,,32,,,,,,,,,,,,,,,,,,
18,BT_PVE,7043,7044,70025,70025,37,70025,70025,,,,,,,,,,,,,,,,
19,BT_PVE,7045,7046,,70012,40,70012,,,,,,,,,,,,,,,,,
20,BT_PVE,7047,7048,70024,,43,,,70024,,,,,,,,,,,,,,,
21,BT_PVE,7049,7050,,,46,,,,70019,70019,70019,,,,,,,,,,,,
22,BT_PVE,7051,7052,,49,51,49,,33,33,33,33,33,,,,,,,,,,,
23,BT_PVE,7053,7054,,55,56,55,,36,36,36,36,36,,,,,,,,,,,
24,BT_PVE,7055,7056,,61,60,61,,42,42,,42,42,,,,,,,,,,,
25,BT_PVE,7057,7058,63,63,66,63,63,63,63,63,63,63,,,,,,,,,,,
26,BT_PVE,7059,7060,,,71,,,,,,,,,,,,,,,,,,
27,BT_PVE,7061,7062,,,75,,,62,62,,62,62,,,,,,,,,,,
28,BT_PVE,7063,7064,,,79,,,,,,,,,,,,,,,,,,
29,BT_PVE,7065,7066,,82,83,82,,,,,,,,,,,,,,,,,
30,BT_PVE,7067,7068,,85,87,85,,,,,,,,,,,,,,,,,
31,BT_PVE,7069,7070,,,92,,,,,,,,,,,,,,,,,,
32,BT_PVE,7071,7072,,95,96,95,,,,,,,,,,,,,,,,,
33,BT_PVE,7073,7074,70028,70028,97,70028,70028,70029,70029,70029,70029,70029,,,,,,,,,,,
34,BT_PVE,7075,7076,105,106,108,106,105,106,106,106,106,106,,,,,,,,,,,
35,BT_PVE,7077,7078,,,113,,,,,,,,,,,,,,,,,,
36,BT_PVE,7079,7080,,114,116,114,,114,,,,114,,,,,,,,,,,
37,BT_PVE,7081,7082,110,110,121,110,110,110,110,110,110,110,,,,,,,,,,,
38,BT_PVE,7083,7084,,,126,,,125,125,,125,125,,,,,,,,,,,
39,BT_PVE,7085,7086,128,128,129,128,128,,,,,,,,,,,,,,,,
40,BT_PVE,7087,7088,131,131,132,131,131,130,130,,130,130,,,,,,,,,,,
41,BT_PVE,7089,7090,,136,137,136,,,,,,,,,,,,,,,,,
42,BT_PVE,7091,7092,,,142,,,140,140,,140,140,,,,,,,,,,,
43,BT_PVE,7093,7094,148,148,145,148,148,148,148,148,148,148,,,,,,,,,,,
44,BT_PVE,7095,7096,147,147,150,147,147,147,147,147,147,147,,,,,,,,,,,
45,BT_PVE,,,152,152,164,152,152,152,152,152,152,152,,,,,,,,,,,
46,BT_PVE,,,153,153,165,153,153,153,153,153,153,153,,,,,,,,,,,
47,BT_PVE,,,154,154,166,154,154,154,154,154,154,154,,,,,,,,,,,
48,BT_PVE,,,155,155,167,155,155,155,155,155,155,155,,,,,,,,,,,
49,BT_PVE,,,156,156,168,156,156,156,156,156,156,156,,,,,,,,,,,
50,BT_PVE,,,157,157,169,157,157,157,157,157,157,157,,,,,,,,,,,
51,BT_PVE,,,158,158,170,158,158,158,158,158,158,158,,,,,,,,,,,
52,BT_PVE,,,159,159,171,159,159,159,159,159,159,159,,,,,,,,,,,
53,BT_PVE,,,160,160,172,160,160,160,160,160,160,160,,,,,,,,,,,
54,BT_PVE,,,161,161,173,161,161,161,161,161,161,161,,,,,,,,,,,
55,BT_PVE,,,162,162,174,162,162,162,162,162,162,162,,,,,,,,,,,
56,BT_PVE,,,163,163,175,163,163,163,163,163,163,163,,,,,,,,,,,
1001,BT_PVH,,,,,51000,,,52001,,,,52002,,,,,,,,,,,
1002,BT_PVH,,,52004,,51001,,52004,52003,52003,52003,52003,52003,,,,,,,,,,,
1003,BT_PVH,,,,52006,51002,52006,,,,52005,,,,,,,,,,,,,
1004,BT_PVH,,,,52007,51003,52008,,,,,,,,,,,,,,,,,
1005,BT_PVH,,,52009,52009,51004,52009,52009,,,,,,,,,,,,,,,,
1006,BT_PVH,,,,,51005,,,52010,52010,52010,52010,52010,,,,,,,,,,,
1007,BT_PVH,,,52011,,51006,,52011,,52012,52013,52012,,,,,,,,,,,,
1008,BT_PVH,,,52014,52015,51007,52015,52014,,,,,,,,,,,,,,,,
1009,BT_PVH,,,52016,52016,51008,52016,52016,52016,52016,52016,52016,52016,,,,,,,,,,,
1010,BT_PVH,,,52017,,51009,,52017,,52017,,52017,,,,,,,,,,,,
1011,BT_PVH,,,,,51010,,,,,,,,,,,,,,,,,,
1012,BT_PVH,,,52018,52019,51011,52019,52018,,52018,52018,52018,,,,,,,,,,,,
1013,BT_PVH,,,,52020,51012,52020,,52021,52021,52021,52021,52021,,,,,,,,,,,
1014,BT_PVH,,,52022,52022,51013,52022,52022,52022,52022,52023,52022,52022,,,,,,,,,,,
1015,BT_PVH,,,,,51014,,,52024,52024,52024,52024,52024,,,,,,,,,,,
1016,BT_PVH,,,52026,52025,51015,52025,52026,,,,,,,,,,,,,,,,
1017,BT_PVH,,,,,52028,,,52027,52027,51016,52027,52027,,,,,,,,,,,
1018,BT_PVH,,,52030,52029,51017,52029,52030,52029,52030,52029,52030,52029,,,,,,,,,,,
1019,BT_PVH,,,52031,,51018,,52032,,,,,,,,,,,,,,,,
1020,BT_PVH,,,,,51019,,,,52033,52033,52033,,,,,,,,,,,,
1021,BT_PVH,,,52035,52035,51020,52035,52035,52034,52034,52034,52034,52034,,,,,,,,,,,
1022,BT_PVH,,,52036,52036,51021,52036,52036,,52036,52036,52036,,,,,,,,,,,,
1023,BT_PVH,,,52038,52037,51022,52037,52038,52038,52037,52037,52037,52038,,,,,,,,,,,
1024,BT_PVH,,,,,51023,,,,,52039,,,,,,,,,,,,,
1025,BT_PVH,,,52040,,51024,,52040,,52040,,52040,,,,,,,,,,,,
1026,BT_PVH,,,52041,52041,51025,52041,52041,52041,52041,52041,52041,52041,,,,,,,,,,,
1027,BT_PVH,,,52042,52042,51026,52043,52043,52042,52042,,52043,52043,,,,,,,,,,,
1028,BT_PVH,,,52045,52045,51027,52045,52045,52046,52046,52044,52046,52046,,,,,,,,,,,
1029,BT_PVH,,,52047,,51028,,52047,,,,,,,,,,,,,,,,
1030,BT_PVH,,,52048,52048,51029,52048,52048,52048,52048,52048,52048,52048,,,,,,,,,,,
1031,BT_PVH,,,52050,52050,51030,52049,52050,52050,52050,52050,52050,52050,,,,,,,,,,,
1032,BT_PVH,,,,,51031,,,52051,52051,52051,52051,52051,,,,,,,,,,,
1033,BT_PVH,,,,,51032,52053,,,,52052,,,,,,,,,,,,,
1034,BT_PVH,,,52055,52055,52054,52055,52055,,,51033,,,,,,,,,,,,,
1035,BT_PVH,,,52057,52056,51034,52056,52057,52058,52058,52058,52058,52058,,,,,,,,,,,
1036,BT_PVH,,,52060,52060,51035,52060,52060,52059,52059,52059,52059,52059,,,,,,,,,,,
1037,BT_PVH,,,52062,52062,51036,52062,52062,52061,,52061,,52061,,,,,,,,,,,
1038,BT_PVH,,,52063,52065,51037,52067,52064,52063,52063,52066,52064,52064,,,,,,,,,,,
1039,BT_PVH,,,52071,52070,51038,52070,52068,52071,52069,52072,52069,52068,,,,,,,,,,,
1040,BT_PVH,,,52073,52073,51040,52073,52073,52073,52073,52073,52073,52073,,,,,,,,,,,
1041,BT_PVH,,,52074,52074,51041,52074,52074,52074,52074,52074,52074,52074,,,,,,,,,,,
1042,BT_PVH,,,52075,52075,51042,52075,52075,52075,52075,52075,52075,52075,,,,,,,,,,,
1043,BT_PVH,,,52076,52076,51043,52076,52076,52076,52076,52076,52076,52076,,,,,,,,,,,
1044,BT_PVH,,,52077,52077,51044,52077,52077,52077,52077,52077,52077,52077,,,,,,,,,,,
1045,BT_PVH,,,52078,52078,51045,52078,52078,52078,52078,52078,52078,52078,,,,,,,,,,,
1046,BT_PVH,,,52079,52079,51046,52079,52079,52079,52079,52079,52079,52079,,,,,,,,,,,
1047,BT_PVH,,,52080,52080,51047,52080,52080,52080,52080,52080,52080,52080,,,,,,,,,,,
1048,BT_PVH,,,52081,52081,51048,52081,52081,52081,52081,52081,52081,52081,,,,,,,,,,,
1049,BT_PVH,,,52082,52082,51049,52082,52082,52082,52082,52082,52082,52082,,,,,,,,,,,
1050,BT_PVH,,,52083,52083,51050,52083,52083,52083,52083,52083,52083,52083,,,,,,,,,,,
1051,BT_PVH,,,52084,52084,51051,52084,52084,52084,52084,52084,52084,52084,,,,,,,,,,,
1052,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1053,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1054,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1055,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1056,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1057,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1058,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1059,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1060,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1061,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1062,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1063,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1064,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1065,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1066,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1067,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1068,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1069,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1070,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1071,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1072,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1073,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1074,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1075,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1076,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1077,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1078,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1079,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1080,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1081,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1082,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1083,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1084,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1085,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1086,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1087,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1088,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1089,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1090,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1091,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1092,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1093,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1094,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1095,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1096,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1097,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1098,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1099,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
1100,BT_PVH,,,,,21,,,,,,,,,,,,,,,,,,
4001,BT_PVE,,,,,50001,,,,,,,,,,,,,,,,,,
4002,BT_PVE,,,,,50002,,,,,,,,,,,,,,,,,,
4003,BT_PVE,,,,,50003,,,,,,,,,,,,,,,,,,
4004,BT_PVE,,,,,50004,,,,,,,,,,,,,,,,,,
4101,BT_PVE,,,,,50005,,,,,,,,,,,,,,,,,,
5000,BT_PVE,,,,,35,,,,,,,,,,,,,,,,,,
5001,BT_PVE,,,,,36,,,,,,,,,,,,,,,,,,
5002,BT_PVE,,,,,37,,,,,,,,,,,,,,,,,,
9001,BT_PVE,,,,,90001,,,,,,,,,,,,,,,,,,
9002,BT_PVE,,,,,90002,,,,,,,,,,,,,,,,,,
9003,BT_PVE,,,,,90003,,,,,,,,,,,,,,,,,,
9004,BT_PVE,,,,,90004,,,,,,,,,,,,,,,,,,
9005,BT_PVE,,,,,90005,,,,,,,,,,,,,,,,,,
9006,BT_PVE,,,,,90006,,,,,,,,,,,,,,,,,,
9007,BT_PVE,,,,,90007,,,,,,,,,,,,,,,,,,
9008,BT_PVE,,,,,90008,,,,,,,,,,,,,,,,,,
9009,BT_PVE,,,,,90009,,,,,,,,,,,,,,,,,,
9010,BT_PVE,,,,,90010,,,,,,,,,,,,,,,,,,
9011,BT_PVE,,,,,90011,,,,,,,,,,,,,,,,,,
9012,BT_PVE,,,,,90012,,,,,,,,,,,,,,,,,,
9013,BT_PVE,,,,,90013,,,,,,,,,,,,,,,,,,
9014,BT_PVE,,,,,90014,,,,,,,,,,,,,,,,,,
9015,BT_PVE,,,,,90015,,,,,,,,,,,,,,,,,,
9016,BT_PVE,,,,,90016,,,,,,,,,,,,,,,,,,
9017,BT_PVE,,,,,90017,,,,,,,,,,,,,,,,,,
9018,BT_PVE,,,,,90018,,,,,,,,,,,,,,,,,,
