ID,Level,Name,Icon,Desc
1,1,职业选择,,"完成就职任务,选择自己的职业"
2,2,属性增加,,"增加主角属性点,提高主角战斗力"
3,4,宠物成长,,"增加宠物属性点,提高宠物战斗力"
4,5,宠物技能,,"给宠物学技能,让宠物技能更多样"
5,7,玩家技能,,学习技能，增加自身绝技
6,12,装备打造,,可制造新装备，提升自身属性
7,15,齐上阵,,带四个伙伴参加战斗，团队作战实力更强
8,15,日常任务,,可进行日常任务，助人为乐更快乐
9,21,通缉任务,,可参加通缉任务，击杀怪物首领，守卫一方安定
10,21,怪物攻城,,可参加怪物攻城活动，与村民共同保卫家园
11,21,采蘑菇,,可参加采蘑菇活动，与村长共同保卫家园
12,21,呼朋引伴,,添加好友，独乐不如众乐
13,21,职业一转,,职业晋升或玩家转职，提高自身职业或选择新的职业
14,25,异步竞技场,,可参加异步竞技场，通过PK获取更多战斗经验
15,30,百人道场,,可参加百人道场，战斗不止，闯关不停
16,35,同步竞技场,,可参加同步竞技场，与更多玩家一较高下
17,41,职业二转,,职业晋升或玩家转职，提高自身职业或选择新的职业
18,60,职业三转,,职业晋升或玩家转职，提高自身职业或选择新的职业
19,21,宠物神殿,,参加宠物神殿，培养你的宠物
20,31,副本,,参加副本战斗，挑战自我
