ID,ActivityName,ActivitiesType,Join,JoinGrade,ActivityTime,ActivityForm,Desc,Award,ActivitiesKind,StartTime,ItemId,maxtime,Active,Icon
1,通缉任务,2,1;1101,23,全天开放,组队,"在通缉任务负责人接取,需要队伍人数大于3人，完成可以获得大量经验。完成20次可以获得活跃度！",5036;1760;1716;1756,ACT_Tongji,,5036,20,20,
2,采蘑菇,2,2,20,11点—13点;17点—19点,组队或单人,"帮助村长在村庄中采集蘑菇,完成活动会获得丰厚的金币奖励，完成10次可以获得活跃度！",5035,ACT_Mogu,11:00;17:00,5035,20,20,
3,日常任务,2,1;1002,20,全天开放,单人,"日常系列任务,每天完成一轮任务后会获得丰厚的经验奖励，完成10次可以获得活跃度！",5036;5035;5100;5101,ACT_Richang,,5036,10,20,
4,宠物神殿,1,,30,周二周五19点-20点,组队,挑战宠物王，胜利后可获得宠物相关道具奖励，完成1次可以获得活跃度！,4510;1765;102079,ACT_Pet,19:00,4510,1,20,
5,野外宝箱,1,3;1112,30,周一周四20点-21点,单人,天降宝箱，快去抢吧，不过在那可能会被其他玩家攻击哦~宝箱里据说藏着宠物改造的东西,102062;5039;5086;3805;5098;5099,ACT_AlonePK,20:00,102062,10,20,
6,野外战场,1,3;1113,30,周二周五20点-21点,组队或单人,天降怪物，击败他们会获得王宠宝箱碎片哦，不过在那可能会被其他玩家攻击，小心！,102066,ACT_TeamPK,20:00,102064,10,20,
7,武斗场,2,1;9575,20,全天开放,单人,展现自身实力的武斗场，每天会根据排名发放诱人奖励！从主城武斗场管理员处进入！，完成5次可以获得活跃度！,5044;5050,ACT_JJC,,5034,5,10,
8,百人道场,2,1;9569,35,全天开放,组队或单人,验证队伍实力的好场所，击败越多怪物，奖励越丰厚！从主城百人道场管理员处进入！，完成1次可以获得活跃度！,3809;21350;1723;5044,ACT_Challenge,,3809,1,10,
9,答题,2,,20,12点-13点  19点-20点,单人,每日20道题目，回答正确可以获得大量经验和金币奖励！,5036;5035,ACT_Exam,12:00;19:00,5507,1,10,
10,副本,2,1;9584,30,全天开放,组队,通关副本可以获得装备、宝石等稀有奖励,5035;3808;1407;1408;1409;1410,ACT_Copy,,3808,1,10,
11,悬赏任务,2,1;9586,23,全天开放,单人,每周完成200次悬赏任务获得丰厚经验奖励，100/200次任务更有惊喜哦！,5036,ACT_Rand,,5036,1,0,
12,许愿池,2,1;9572,25,全天开放,单人,击杀100个怪物后可以获得许愿神灯，许愿后将获得许愿树的眷顾！,5508,ACT_Xuyuan,,5508,1,10,
13,家族战,1,1100;20001,20,每周三、周六19点-22点,组队,每周三、周六进行家族战，要求队伍人数最少三人，击败对方所有队伍或击杀对方所有守护兽获得胜利，赢取国王的丰厚奖励！,5036;5035;5100;5101,ACT_Family_0,19:00,5036,1,0,ICON_jiazuhuodong_1
14,家族日常任务,2,1100;20003,25,全天开放,单人,完成家族任务获得家族贡献值和家族资金，同时还有几率获得遗失的材料箱及神秘礼物。,21351,ACT_Family_1,,21351,20,0,ICON_jiazuhuodong_2
15,魔族入侵,2,1100;20000,20,13点—24点,组队或单人,魔族的先锋已经偷偷的入侵到我们这里，消灭它们！,5036;5035;5100;5101,ACT_Family_2,,5036,99,0,ICON_jiazuhuodong_3
17,材料补给,2,1100;20004,20,全天开放,单人,上交物品，获得材料,21352,ACT_Family_3,,21352,99,0,ICON_jiazuhuodong_5
18,穿越火线,2,1100;20007,35,全天开放,单人,前往战场运送补给,5036;5035;5100;5101,ACT_Family_4,,5036,3,0,ICON_jiazuhuodong_6
19,勇者选拔,1,1;9564,,星期日19点-21点,组队,星期日晚上19点-21点举行勇者选拔战，要求队伍人数大于等于3人，组队参加，丰厚奖励，等你们来拿！,5116;5086;1756,ACT_Warrior,19:00,5036,1,0,
20,天降红包,1,,1,周一、周四19点-20点,单人,活动期间每隔5分钟就会获得金币奖励，只有在线才能活动哦！,5039,ACT_Money,19:00,5039,12,0,
21,全职业挑战,1,999;49,30,周一、三、五、日13点-17点,组队或单人,挑战十位职业大师，赢取丰厚奖励！,10100;205017;205018,ACT_Money,13:00;17:00,10100,10,0,
22,追捕精怪,1,,30,周二、四、六13点-18点,组队或单人,活动期间每隔一小时就在随机城镇场景中刷新逃跑的精怪，每波持续1小时，挑战成功后获得奖励。,21350;5086;110168;110169,ACT_Money,13:00;18:00,21350,99,0,
