month,reward
1,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
2,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
3,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
4,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
5,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
6,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
7,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
8,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
9,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
10,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
11,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
12,5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049;5049
