ID,ItemSubType,Number,Item,ItemNumber
102001,IST_EmployeeDebris,80,2001,1
102002,IST_EmployeeDebris,80,2002,1
102003,IST_EmployeeDebris,60,2003,1
102004,IST_EmployeeDebris,60,2004,1
102005,IST_EmployeeDebris,40,2005,1
102006,IST_EmployeeDebris,20,2006,1
102007,IST_EmployeeDebris,80,2007,1
102008,IST_EmployeeDebris,80,2008,1
102009,IST_EmployeeDebris,60,2009,1
102010,IST_EmployeeDebris,60,2010,1
102011,IST_EmployeeDebris,40,2011,1
102012,IST_EmployeeDebris,20,2012,1
102013,IST_EmployeeDebris,80,2013,1
102014,IST_EmployeeDebris,80,2014,1
102015,IST_EmployeeDebris,60,2015,1
102016,IST_EmployeeDebris,60,2016,1
102017,IST_EmployeeDebris,40,2017,1
102018,IST_EmployeeDebris,20,2018,1
102019,IST_EmployeeDebris,80,2019,1
102020,IST_EmployeeDebris,80,2020,1
102021,IST_EmployeeDebris,60,2021,1
102022,IST_EmployeeDebris,60,2022,1
102023,IST_EmployeeDebris,40,2023,1
102024,IST_EmployeeDebris,20,2024,1
102025,IST_EmployeeDebris,80,2025,1
102026,IST_EmployeeDebris,80,2026,1
102027,IST_EmployeeDebris,60,2027,1
102028,IST_EmployeeDebris,60,2028,1
102029,IST_EmployeeDebris,40,2029,1
102030,IST_EmployeeDebris,20,2030,1
102031,IST_EmployeeDebris,80,2031,1
102032,IST_EmployeeDebris,80,2032,1
102033,IST_EmployeeDebris,60,2033,1
102034,IST_EmployeeDebris,60,2034,1
102035,IST_EmployeeDebris,40,2035,1
102036,IST_EmployeeDebris,20,2036,1
102037,IST_EmployeeDebris,80,2037,1
102038,IST_EmployeeDebris,80,2038,1
102039,IST_EmployeeDebris,60,2039,1
102040,IST_EmployeeDebris,60,2040,1
102041,IST_EmployeeDebris,40,2041,1
102042,IST_EmployeeDebris,20,2042,1
102043,IST_EmployeeDebris,80,2043,1
102044,IST_EmployeeDebris,80,2044,1
102045,IST_EmployeeDebris,60,2045,1
102046,IST_EmployeeDebris,60,2046,1
102047,IST_EmployeeDebris,40,2047,1
102048,IST_EmployeeDebris,20,2048,1
102049,IST_EmployeeDebris,80,2049,1
102050,IST_EmployeeDebris,80,2050,1
102051,IST_EmployeeDebris,60,2051,1
102052,IST_EmployeeDebris,60,2052,1
102053,IST_EmployeeDebris,40,2053,1
102054,IST_EmployeeDebris,20,2054,1
102055,IST_EmployeeDebris,80,2055,1
102056,IST_EmployeeDebris,80,2056,1
102057,IST_EmployeeDebris,60,2057,1
