DropID,text,exp,money,diamond,item-1,item-num-1,pro-type-1,probability-1,item-2,item-num-2,pro-type-2,probability-2,item-3,item-num-3,pro-type-3,probability-3,item-4,item-num-4,pro-type-4,probability-4,item-5,item-num-5,pro-type-5,probability-5,item-6,item-num-6,pro-type-6,probability-6
90000,主线任务,9,48,,,,,,,,,,,,,,,,,,,,,,,,,
90001,主线任务,9,48,,,,,,,,,,,,,,,,,,,,,,,,,
90002,指引任务,2793,90,,,,,,,,,,,,,,,,,,,,,,,,,
200001,冒险者之道,10,598,,,,,,,,,,,,,,,,,,,,,,,,,
200002,盗匪的困扰,90,660,,5025,3,1,10000,,,,,,,,,,,,,,,,,,,,
200003,伊利斯村的村长,90,720,,1161,1,1,10000,1184,1,1,10000,,,,,,,,,,,,,,,,
200004,柔软的泥巴,90,670,,5116,1,1,10000,,,,,,,,,,,,,,,,,,,,
200005,村内的捣蛋鬼,320,950,,5025,3,1,10000,,,,,,,,,,,,,,,,,,,,
200006,捕捉宠物,320,690,,5002,5,1,10000,,,,,,,,,,,,,,,,,,,,
200007,宠物的技巧,500,557,,5086,2,1,10000,,,,,,,,,,,,,,,,,,,,
200008,向着目标前行,1400,420,,5086,1,1,10000,,,,,,,,,,,,,,,,,,,,
200009,伊利斯山洞,1800,420,,5116,1,1,10000,,,,,,,,,,,,,,,,,,,,
200010,扰人的蝙蝠,3200,420,,1432,1,1,10000,,,,,,,,,,,,,,,,,,,,
200011,可怕的牛头怪,4000,525,,3746,2,1,10000,3001,20,1,10000,3101,15,1,10000,3401,15,1,10000,,,,,,,,
200012,不死生物,7200,420,,3001,20,1,10000,3101,15,1,10000,3401,15,1,10000,,,,,,,,,,,,
200013,扰人的软泥怪,10000,420,,9006,1,1,10000,5116,1,1,10000,9007,1,1,10000,,,,,,,,,,,,
200014,僵尸实验体,15000,575,,5086,1,1,10000,9002,1,1,10000,9001,1,1,10000,,,,,,,,,,,,
200015,凶猛的骷髅,20000,420,,6187,1,1,10000,6232,1,1,10000,7008,1,1,10000,,,,,,,,,,,,
200016,骷髅头骨,22000,420,,7008,1,1,10000,,,,,,,,,,,,,,,,,,,,
200017,实验室内的阴影,24000,1020,,9003,1,1,10000,9004,1,1,10000,9005,1,1,10000,,,,,,,,,,,,
200018,毒蝎,26000,1250,,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200019,炸弹炸弹,28000,1625,,6232,1,1,10000,5116,1,1,10000,6187,1,1,10000,,,,,,,,,,,,
200020,食人魔之乱,32000,260,,6232,1,1,10000,6187,1,1,10000,,,,,,,,,,,,,,,,
200021,罗德里镇大危机,25000,650,,6002,1,1,10000,6094,1,1,10000,,,,,,,,,,,,,,,,
200022,食人魔的手下,25920,260,,6305,1,1,10000,5116,1,1,10000,,,,,,,,,,,,,,,,
200023,击溃,34800,675,,3401,15,1,10000,3101,15,1,10000,,,,,,,,,,,,,,,,
200024,众人的需求,27776,581,,3101,10,1,10000,5086,2,1,10000,,,,,,,,,,,,,,,,
200025,木工材料,25920,270,,3776,3,1,10000,5086,2,1,10000,,,,,,,,,,,,,,,,
200026,小厨娘,14578,284,,3002,10,1,10000,3101,10,1,10000,3401,10,1,10000,,,,,,,,,,,,
200027,美味熊掌,15260,780,,5086,2,1,10000,3001,10,1,10000,3101,10,1,10000,3401,10,1,10000,,,,,,,,
200028,隐士,14578,84,,3101,12,1,10000,,,,,,,,,,,,,,,,,,,,
200029,海滩上的螃蟹,16210,290,,9009,1,1,10000,,,,,,,,,,,,,,,,,,,,
200030,山洞中的试炼,16210,290,,3301,10,1,10000,,,,,,,,,,,,,,,,,,,,
200031,吸血之牙,16210,290,,3001,5,1,10000,3802,2,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,
200032,科托去哪儿,5799,90,,3001,5,1,10000,5086,1,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,
200033,水蜘蛛之灾,19330,300,,6163,1,1,10000,6232,1,1,10000,6280,1,1,10000,6304,1,1,10000,,,,,,,,
200034,暗水之下,19330,300,,6162,4,1,10000,6233,1,1,10000,6280,1,1,10000,6303,1,1,10000,,,,,,,,
200035,马克的召唤,5799,90,,3001,4,1,10000,5086,1,1,10000,5116,1,1,10000,,,,,,,,,,,,
200036,蜂群,20010,310,,6232,4,1,10000,6163,1,1,10000,6279,1,1,10000,6303,1,1,10000,,,,,,,,
200037,恐怖蝙蝠,20010,310,,3101,12,1,10000,3001,4,1,10000,,,,,,,,,,,,,,,,
200038,救援,6003,93,,3101,5,1,10000,5086,1,1,10000,,,,,,,,,,,,,,,,
