ID,Name,AssetsID,Skill,Icon
1,捣蛋鬼,19,EKT_GroupDamage,s_chunbai_icon
2,水鬼草,120,EKT_GroupDamage,s_yaocao-12_icon
3,软泥怪,4,EKT_DeadlyDamage,s_shilaimu_icon
4,巨熊,175,EKT_DeadlyDamage,s_gouxiong_4_icon
5,骷髅战士,123,EKT_BattleTimeLimit,s_kulouzhanshi_icon
6,泡沫软泥怪,89,EKT_BattleTimeLimit,s_ruanniguai_13_icon
7,树精,5,EKT_Thump,s_shuguai_icon
8,贪食兽,177,EKT_Thump,s_mifeng_2_icon
9,哥布林,3,EKT_SiegeDamage,s_gebulin_icon
10,恶魔食人花,87,EKT_SiegeDamage,s_kouchougui_13_icon
11,炸弹魔,115,EKT_SuperMagic,s_zhadanmo_icon
12,行尸,80,EKT_SuperMagic,s_NPC_02_15_icon
13,蝙蝠,10,EKT_Debuff,s_bianfu_icon
14,毒蘑菇,58,EKT_Debuff,s_mogu_icon
15,牛头人,2,EKT_PhysicalDefense,s_niutouguai_icon
16,怒熊,174,EKT_PhysicalDefense,s_gouxiong_3_icon
17,鬼影,112,EKT_GroupDamage;EKT_DeadlyDamage,s_Monster21_2_icon
18,食人魔法师波坎,83,EKT_GroupDamage;EKT_BattleTimeLimit,s_Monster32_1_icon
19,食人魔,61,EKT_GroupDamage;EKT_Thump,s_juren_icon
20,蜥蜴人扎戈,220,EKT_GroupDamage;EKT_SiegeDamage,s_xiyiren_icon
21,食人魔首领克洛,84,EKT_GroupDamage;EKT_SuperMagic,s_Monster32_2_icon
22,白恶魔吉拉斯,129,EKT_GroupDamage;EKT_Debuff,s_baifaguai_icon
23,怪怪箱,20,EKT_GroupDamage;EKT_PhysicalDefense,s_hongguaixiangzi_icon
24,水精魂,192,EKT_DeadlyDamage;EKT_BattleTimeLimit,s_youling_icon
25,恶狼希斯,75,EKT_DeadlyDamage;EKT_Thump,s_Monster13_53_icon
26,盗匪,42,EKT_SiegeDamage;EKT_DeadlyDamage,s_qiangdao_icon
27,吸血海蝙蝠,141,EKT_DeadlyDamage;EKT_SuperMagic,s_bianfu1_1_icon
28,毒蝎,189,EKT_DeadlyDamage;EKT_Debuff,s_xiezi_1_icon
29,僵尸实验体,79,EKT_DeadlyDamage;EKT_PhysicalDefense,s_NPC_02_14_icon
30,盗匪首领,49,EKT_Thump;EKT_BattleTimeLimit,s_kuanggong_icon
31,巨人巴罗斯,76,EKT_BattleTimeLimit;EKT_SiegeDamage,s_color01_12_icon
32,黑暗魔君,200,EKT_BattleTimeLimit;EKT_SuperMagic,s_boy05_1_icon
33,海巨龙布鲁特韦姆,68,EKT_BattleTimeLimit;EKT_Debuff,s_Monster37_1_icon
34,食人魔奥兹,85,EKT_BattleTimeLimit;EKT_PhysicalDefense,s_Monster32_5_icon
35,大钳蟹,32,EKT_Thump;EKT_SiegeDamage,s_pangxie_icon
36,魔像瓦特,133,EKT_Thump;EKT_SuperMagic,s_bingguai_icon
37,千年古树妖,95,EKT_Thump;EKT_Debuff,s_shuguai_38_icon
38,黑熊,173,EKT_Thump;EKT_PhysicalDefense,s_gouxiong_2_icon
39,臭臭花,121,EKT_SiegeDamage;EKT_SuperMagic,s_yaocao-25_icon
40,水鬼,124,EKT_SiegeDamage;EKT_Debuff,s_Monster6_12_icon
41,熊猫团,6,EKT_SiegeDamage;EKT_PhysicalDefense,s_xiongmao_icon
42,异教长老,194,EKT_SuperMagic;EKT_Debuff,s_youling_2_icon
43,初级僵尸,16,EKT_SuperMagic;EKT_PhysicalDefense,s_jiangshi_icon
44,伦纳斯恶魔,78,EKT_Debuff;EKT_PhysicalDefense,s_color01_53_icon
45,坚甲龟,170,EKT_Thump;EKT_PhysicalDefense,s_wugui_1_icon
