EQID,EQName,EmployeeMonster,EmployeeQuestColor,TimeRequier,EmployeeRequier,SuccessRate,award1,award2,award3,cost
1,消灭食人魔,19,EQC_White,5,1,65,3007,5086,70008,1000
2,林木长青,7,EQC_White,5,1,65,3107,5086,70009,1000
3,采蘑菇,14,EQC_White,4,1,50,3407,5086,70010,1000
4,调查实验室,12,EQC_White,4,1,65,5044,5046,70011,1000
5,一点小麻烦,11,EQC_White,4,1,65,5100,5102,70008,1000
6,教训捣蛋鬼,1,EQC_White,4,1,65,5101,5103,70009,1000
7,烦人的蝙蝠,13,EQC_White,4,1,50,10003,21364,70010,1000
8,清理盗匪,26,EQC_White,5,1,65,10013,21364,70011,1000
9,美味熊掌,16,EQC_White,4,1,65,10023,21364,70008,1000
10,好大的熊,4,EQC_White,4,1,65,10033,21364,70009,1000
11,罪恶之徒,30;26,EQC_White,6,3,45,10043,21364,70010,1000
12,潜水,24;2,EQC_White,6,3,45,10053,21364,70011,1000
13,调查邪教,42;5,EQC_White,6,3,45,10063,21364,70008,1000
14,放风筝,25;6,EQC_White,6,3,45,10073,21364,70009,1000
15,不能划水,31;34,EQC_White,6,3,45,3007,5086,70010,1000
16,见鬼了,17;43,EQC_White,6,3,45,3107,5086,70011,1000
17,心中的恶魔,44;40,EQC_White,6,3,45,3407,5086,70008,1000
18,大闸蟹,35;6,EQC_White,6,3,45,5044,5046,70009,1000
19,臭气熏天,39;3,EQC_White,6,3,45,5100,5102,70010,1000
20,藏宝图,23;8,EQC_White,6,3,45,5101,5103,70011,1000
21,肮脏的银戒指,18;26,EQC_White,6,3,45,3007,5086,70008,1000
22,剧毒之花,10;25,EQC_White,6,3,45,3107,5086,70009,1000
23,斩首行动,21;34;9,EQC_White,6,3,45,3407,5086,70010,1000
24,剑与魔法的艺术,22;25;43,EQC_White,6,3,45,5044,5046,70011,1000
25,斩草要除根,39;2;20,EQC_White,6,3,45,5100,5102,70008,1000
26,美妙的痛苦,24;35;40,EQC_White,6,3,45,5101,5103,70009,1000
27,寒冬将至,38;35;14,EQC_White,6,3,45,3007,5086,70010,1000
28,咆哮的巨人,31;15;43,EQC_White,6,3,45,3107,5086,70011,1000
29,清理箱子,23;26;30,EQC_White,6,3,45,3407,5086,70008,1000
30,一个都不能少,27;11;40,EQC_White,6,3,45,5044,5046,70009,1000
31,消灭食人魔,19,EQC_White,5,1,65,5100,5102,70010,1000
32,林木长青,7,EQC_White,5,1,65,5101,5103,70011,1000
33,采蘑菇,14,EQC_White,4,1,50,3007,5086,70008,1000
34,调查实验室,12,EQC_White,4,1,65,3107,5086,70009,1000
35,一点小麻烦,11,EQC_White,4,1,65,3407,5086,70010,1000
36,教训捣蛋鬼,1,EQC_White,4,1,65,5044,5046,70011,1000
37,烦人的蝙蝠,13,EQC_White,4,1,50,5100,5102,70008,1000
38,清理盗匪,26,EQC_White,5,1,65,5101,5103,70009,1000
39,美味熊掌,16,EQC_White,4,1,65,3007,5086,70010,1000
40,好大的熊,4,EQC_White,4,1,65,3107,5086,70011,1000
41,罪恶之徒,30;26,EQC_White,6,3,45,3407,5086,70008,1000
42,潜水,24;2,EQC_White,6,3,45,5044,5046,70009,1000
43,调查邪教,42;5,EQC_White,6,3,45,5100,5102,70010,1000
44,放风筝,25;6,EQC_White,6,3,45,5101,5103,70011,1000
45,不能划水,31;34,EQC_White,6,3,45,3007,5086,70008,1000
46,见鬼了,17;43,EQC_White,6,3,45,3107,5086,70009,1000
47,心中的恶魔,44;40,EQC_White,6,3,45,3407,5086,70010,1000
48,大闸蟹,35;6,EQC_White,6,3,45,5044,5046,70011,1000
49,臭气熏天,39;3,EQC_White,6,3,45,5100,5102,70008,1000
50,藏宝图,23;8,EQC_White,6,3,45,5101,5103,70009,1000
51,肮脏的银戒指,18;26,EQC_White,6,3,45,3007,5086,70010,1000
52,剧毒之花,10;25,EQC_White,6,3,45,3107,5086,70011,1000
53,斩首行动,21;34;9,EQC_White,8,5,45,3407,5086,70008,1000
54,剑与魔法的艺术,22;25;43,EQC_White,8,5,45,5044,5046,70009,1000
55,斩草要除根,39;2;20,EQC_White,8,5,45,5100,5102,70010,1000
56,美妙的痛苦,24;35;40,EQC_White,8,5,45,5101,5103,70011,1000
57,寒冬将至,38;35;14,EQC_White,8,5,45,3007,5086,70008,1000
58,咆哮的巨人,31;15;43,EQC_White,8,5,45,3107,5086,70009,1000
59,清理箱子,23;26;30,EQC_White,8,5,45,3407,5086,70010,1000
60,一个都不能少,27;11;40,EQC_White,8,5,45,5044,5046,70011,1000
61,团队合作,41;35;40,EQC_Blue,12,5,0,70000,70008,70012,5000
62,铁牙猴,22;34;44,EQC_Blue,14,5,0,70001,70009,70013,5000
63,千年老妖,37;39;27,EQC_Blue,16,5,0,70002,70010,70014,5000
64,小可爱,40;24;24,EQC_Blue,12,5,0,70003,70011,70015,5000
65,伶牙俐齿,20;28;38,EQC_Blue,14,5,0,21364,10005,70012,5000
66,寻找断尾,36;25;31,EQC_Blue,16,5,0,21364,10015,70013,5000
67,狩猎雄羊,26;18;34,EQC_Blue,12,5,0,21364,10035,70014,5000
68,寂寞的大龟,45;40;27,EQC_Blue,14,5,0,21364,10045,70015,5000
69,黑暗魔君,32;44;25,EQC_Purple,24,5,0,70008,5512,70016,50000
70,海巨龙的咆哮,33;40;24,EQC_Purple,24,5,0,70009,5512,70017,50000
71,总动员,21;18;34,EQC_Purple,24,5,0,70010,5512,70018,50000
