ID,Name,Quality,GoldWeight,DiamondWeight
2001,光明使者艾莉,QC_Purple,0,1000
2002,纳德,QC_Blue,800,1000
2003,阿西特,QC_Blue,800,1000
2004,莫罗,QC_Green,1200,1500
2005,阿苏拉,QC_Green,1200,1500
2006,阿鲁卡,QC_White,500,200
2007,咒术女王摩拉,QC_Purple,0,1000
2008,巴特门迪,QC_Blue,800,1000
2009,蒙佐,QC_Blue,800,1000
2010,希特,QC_Green,1200,1500
2011,拉拉纳,QC_Green,1200,1500
2012,西卡尔,QC_White,500,200
2013,奥术玫瑰卡娜,QC_Purple,0,1000
2014,阿巴斯,QC_Blue,800,1000
2015,菲斯,QC_Blue,800,1000
2016,血法师席娜,QC_Green,1200,1500
2017,克莱尔,QC_Green,1200,1500
2018,莫娜,QC_White,500,200
2019,鹰眼格隆,QC_Purple,0,1000
2020,阿卡丽,QC_Blue,800,1000
2021,昆丽尔,QC_Blue,800,1000
2022,亚尔丽,QC_Green,1200,1500
2023,梅,QC_Green,1200,1500
2024,卡莉,QC_White,500,200
2025,女武神吉娜,QC_Purple,0,1000
2026,奎托斯,QC_Blue,800,1000
2027,柯特,QC_Blue,800,1000
2028,布恩,QC_Green,1200,1500
2029,帕克,QC_Green,1200,1500
2030,格伦,QC_White,500,200
2031,佣兵女神苏娜,QC_Purple,0,1000
2032,阿拉贡,QC_Blue,800,1000
2033,莉莉丝,QC_Blue,800,1000
2034,米莉丝,QC_Green,1200,1500
2035,汉娜,QC_Green,1200,1500
2036,辛克亚,QC_White,500,200
2037,剑神乔克,QC_Purple,0,1000
2038,玛娜,QC_Blue,800,1000
2039,里奥,QC_Blue,800,1000
2040,高特,QC_Green,1200,1500
2041,维恩,QC_Green,1200,1500
2042,克里,QC_White,500,200
2043,骑士费伦公爵,QC_Purple,0,1000
2044,安娜侯爵,QC_Blue,800,1000
2045,卡蒂伯爵,QC_Blue,800,1000
2046,乌诺子爵,QC_Green,1200,1500
2047,穆勒男爵,QC_Green,1200,1500
2048,萨斯爵士,QC_White,500,200
2049,刺客之王艾奥,QC_Purple,0,1000
2050,西雅,QC_Blue,800,1000
2051,洛克,QC_Blue,800,1000
2052,雷瑞尔,QC_Green,1200,1500
2053,哈穆雷,QC_Green,1200,1500
2054,隆多,QC_White,500,200
2055,猩红女巫梅丽,QC_Purple,0,1000
2056,汉克斯,QC_Blue,800,1000
2057,莫亚,QC_Blue,800,1000
2058,安雅,QC_Green,1200,1500
2059,尼娜,QC_Green,1200,1500
2060,萨菲,QC_White,500,200
