ID,AssetName,Icon,BindPoint,Zoom,skillhard
1,boy02,boyIcon02_icon,,500,L_boyicon02_icon
2,huoniu,niutouguai_icon,,400,
3,gebulin,gebulin_icon,,600,
4,ruanniguai,shilaimu_icon,,600,
5,shuguai,shuguai_icon,,500,
6,xiongmao,xiongmao_icon,,500,
7,chongwushi,chongwushi_icon,,400,
8,chushi,player01_icon,,490,
9,cunzhang,player01_icon,,490,
10,bianfu,bianfu_icon,,520,
11,mifeng,mifeng_icon,,600,
12,girl03,girl03_icon,,490,L_girlicon03_icon
13,airen,player02_icon,,490,
14,hushi,player01_icon,,550,
15,yaocao,yaocao_icon,,550,
16,jiangshi,jiangshi_icon,,480,
17,xianrenzhang,xianrenzhang_icon,,450,
18,kouchougui,kouchougui_icon,,400,
19,dazuixiangzi,chunbai_icon,,550,
20,hongguaixiangzi,hongguaixiangzi_icon,,500,
21,qingwaxiangzi,qingwaxiangzi_icon,,500,
22,tuzixiangzi,tuzixiangzi_icon,,500,
23,shixiangbianfu,shixiangguai_icon,,500,
24,wugui,wugui_icon,,460,
25,yingziguai,yingziguai_icon,,350,
26,xiyi,xiyi_icon,,600,
27,huolang,huolang_icon,,500,
28,nvjingling,boyIcon02_icon,,580,
29,xinshouguai2,boy01_icon,,550,
30,gouxiong,xiong_icon,,400,
31,huolang,huolang_icon,,600,
32,pangxie,pangxie_icon,,600,
33,xinshouguai4,girl02_icon,,500,
34,xinshouguai3,boyIcon02_icon,,500,
35,xinshouguai1,girl01_icon,,500,
36,guowang,guowang_icon,,490,
37,Make,Make_icon,,480,
38,Mangjianshi,Mangjianshi_icon,,490,
39,Mushi,Mushi_icon,,465,
40,anna,anna_icon,,490,
41,maoren,maoren_icon,,500,
42,qiangdao,qiangdao_icon,,500,
43,huanglong,huanglong_icon,,500,
44,bianfu1,bianfu1_icon,,500,
45,chengfaguai,chengfaguai_icon,,500,
46,hongfaguai,hongfaguai_icon,,500,
47,huangfaguai,huangfaguai_icon,,500,
48,jianglingguai,jianglingguai_icon,,500,
49,kuanggong,kuanggong_icon,,460,
50,niaoren,niaoren_icon,,500,
51,nvlieren,nvlieren_icon,,500,
52,xinshouguai1,boy01_icon,,500,
53,xinshouguai2,boy01_icon,,500,
54,xinshouguai3,boy01_icon,,500,
55,xinshouguai4,boy01_icon,,500,
56,zhizhu,zhizhu_icon,,500,
57,laoshu,laoshu_icon,,500,
58,mogu,mogu_icon,,500,
59,shouwei1,shouwei1_icon,,460,
60,shouwei2,shouwei2_icon,,460,
61,juren,juren_icon,,390,
62,boy07,boy07_icon,,500,
63,guowangzuo,guowangzuo_icon,,490,
64,kaitoushixiang,kaitoushixiang_icon,,490,
65,girl07,girl07_icon,,500,
66,boy06,boy05_icon,,500,
67,boy05,boy06_icon,,500,
68,Monster37_1,Monster37_1_icon,,500,
69,Monster37_2,Monster37_2_icon,,500,
70,Monster37_6,Monster37_6_icon,,500,
71,Monster37_7,Monster37_7_icon,,500,
72,Monster37_8,Monster37_8_icon,,500,
73,Monster13_12,Monster13_12_icon,,500,
74,Monster13_31,Monster13_31_icon,,500,
75,Monster13_53,Monster13_53_icon,,500,
76,huoniu2,color01_12_icon,,400,
77,huoniu3,color01_31_icon,,400,
78,huoniu1,color01_53_icon,,400,
79,NPC_02_14,NPC_02_14_icon,,500,
80,NPC_02_15,NPC_02_15_icon,,500,
81,NPC_02_25,NPC_02_25_icon,,500,
82,NPC_02_31,NPC_02_31_icon,,500,
83,Monster32_1,Monster32_1_icon,,390,
84,Monster32_2,Monster32_2_icon,,390,
85,Monster32_5,Monster32_5_icon,,390,
86,kouchougui_12,kouchougui_12_icon,,460,
87,kouchougui_13,kouchougui_13_icon,,460,
88,kouchougui_38,kouchougui_38_icon,,460,
89,ruanniguai_13,ruanniguai_13_icon,,500,
90,ruanniguai_21,ruanniguai_21_icon,,500,
91,ruanniguai_52,ruanniguai_52_icon,,500,
92,shuguai_12,shuguai_12_icon,,500,
93,shuguai_31,shuguai_31_icon,,500,
94,shuguai_35,shuguai_35_icon,,500,
95,shuguai_38,shuguai_38_icon,,500,
96,shuguai_52,shuguai_52_icon,,500,
97,Monster09_12,Monster09_12_icon,,500,
98,Monster09_21,Monster09_21_icon,,500,
99,Monster09_53,Monster09_53_icon,,500,
100,xianrenzhang_12,xianrenzhang_12_icon,,500,
101,girl01,girlIcon01_icon,,500,L_giricon01_icon
102,boy01,boyIcon01_icon,,500,L_boyicon01_icon
103,girl02,girlIcon02_icon,,500,L_girlicon02_icon
104,boy03,boyIcon03_icon,,500,L_boyicon03_icon
105,girl04,girl04_icon,,500,
106,boy04,boy04_icon,,500,
107,girl05,girl05_icon,,500,
108,girl06,girl06_icon,,500,
109,xianrenzhang_25,xianrenzhang_25_icon,,500,
110,xianrenzhang_31,xianrenzhang_31_icon,,500,
111,xianrenzhang_42,xianrenzhang_42_icon,,500,
112,Monster21_2,Monster21_2_icon,,430,
113,Monster21_3,Monster21_3_icon,,430,
114,Monster21_5,Monster21_5_icon,,430,
115,zhadanmo,zhadanmo_icon,,500,
116,Monster20_12,Monster20_12_icon,,500,
117,Monster20_25,Monster20_25_icon,,500,
118,Monster20_35,Monster20_35_icon,,500,
119,Monster20_53,Monster20_53_icon,,500,
120,yaocao-12,yaocao-12_icon,,500,
121,yaocao-25,yaocao-25_icon,,500,
122,yaocao-53,yaocao-53_icon,,500,
123,kulouzhanshi,kulouzhanshi_icon,,500,
124,Monster6_12,Monster6_12_icon,,500,
125,Monster6_25,Monster6_25_icon,,500,
126,Monster6_31,Monster6_31_icon,,500,
127,Monster6_34,Monster6_34_icon,,500,
128,cunzhang1,cunzhang1_icon,,500,
129,baifaguai,baifaguai_icon,,500,
130,baifaguai_1,baifaguai_1_icon,,500,
131,baifaguai_2,baifaguai_2_icon,,500,
132,baifaguai_3,baifaguai_3_icon,,500,
133,bingguai,bingguai_icon,,500,
134,bingguai_1,bingguai_1_icon,,500,
135,bingguai_2,bingguai_2_icon,,500,
136,bingguai_3,bingguai_3_icon,,500,
137,jianguai,jianguai_icon,,500,
138,jianguai_1,jianguai_1_icon,,500,
139,jianguai_2,jianguai_2_icon,,500,
140,jianguai_3,jianguai_3_icon,,500,
141,bianfu1_1,bianfu1_1_icon,,500,
142,bianfu1_2,bianfu1_2_icon,,500,
143,bianfu1_3,bianfu1_3_icon,,500,
144,bianfu1_4,bianfu1_4_icon,,500,
145,bianfu_1,bianfu_1_icon,,500,
146,bianfu_2,bianfu_2_icon,,500,
147,bianfu_3,bianfu_3_icon,,500,
148,bianfu_4,bianfu_4_icon,,500,
149,bianfu_5,bianfu_5_icon,,500,
150,maoren_1,maoren_1_icon,,500,
151,maoren_2,maoren_2_icon,,500,
152,maoren_3,maoren_3_icon,,500,
153,maoren_4,maoren_4_icon,,500,
154,maoren_5,maoren_5_icon,,500,
155,zhizhu_1,zhizhu_1_icon,,500,
156,zhizhu_2,zhizhu_2_icon,,500,
157,zhizhu_3,zhizhu_3_icon,,500,
158,laoshu_1,laoshu_1_icon,,500,
159,laoshu_2,laoshu_2_icon,,500,
160,laoshu_3,laoshu_3_icon,,500,
161,laoshu_4,laoshu_4_icon,,500,
162,laoshuwang,laoshuwang_icon,,500,
163,qiangdao_1,qiangdao_1_icon,,500,
164,qiangdao_2,qiangdao_2_icon,,500,
165,qiangdao_3,qiangdao_3_icon,,500,
166,niaoren_1,niaoren_1_icon,,500,
167,niaoren_2,niaoren_2_icon,,500,
