Lv,Exp,PetExp
1,51,51
2,179,179
3,395,395
4,711,711
5,1191,1191
6,2091,2091
7,3416,3416
8,5684,5684
9,8816,8816
10,13737,13737
11,21129,21129
12,31821,31821
13,46831,46831
14,67357,67357
15,94789,94789
16,130760,130760
17,180440,180440
18,243224,243224
19,326186,326186
20,428216,360196
21,558626,403666
22,722731,458367
23,926431,526267
24,1176235,609535
25,1479372,710580
26,1843746,832038
27,2291118,981162
28,2819274,1157214
29,3454818,1369062
30,4212330,1621566
31,5197231,1949866
32,6457634,2370000
33,8048436,2900267
34,10032104,3561489
35,12522044,4391469
36,15561308,5404557
37,19296760,6649707
38,23844715,8165692
39,29334738,9995699
40,35911000,12187786
41,43829444,14827267
42,53181221,17944526
43,64282702,21645019
44,77375412,26009255
45,92723877,31125410
46,110786568,37146307
47,131728372,44126908
48,156099997,52250783
49,184317449,61656600
50,216831749,72494700
51,252927509,84526620
52,293156984,97936445
53,337836584,112829645
54,387297236,129316529
55,441886112,147512821
56,502316936,167656429
57,569005856,189886069
58,642388460,214346937
59,723329456,241327269
60,812343704,270998685
61,999431204,333361185
62,1174591956,391748102
63,1437825960,479492770
64,1849133216,616595188
65,2688513724,896388690
66,4205967484,1402206610
67,6841494496,2280715614
68,11515094760,3838582368
69,19676768276,6559140206
70,31046515044,10349055795
71,60207928245,20069526862
72,2510228336,30069526862
73,2704194860,40069526862
74,2906234636,50069526862
75,3116347664,60069526862
76,3334533944,30069526862
77,3560793476,30069526862
78,3795126260,30069526862
79,4037532296,30069526862
80,4288011584,30069526862
81,45212176,45212176
82,47458321,47458321
83,49787136,49787136
84,52200625,52200625
85,54700816,54700816
86,57289761,57289761
87,59969536,59969536
88,62742241,62742241
89,65610000,65610000
90,68574961,68574961
91,71639296,71639296
92,74805201,74805201
93,78074896,78074896
94,81450625,81450625
95,84934656,84934656
96,88529281,88529281
97,92236816,92236816
98,96059601,96059601
99,100000000,100000000
100,104060401,104060401
101,108243216,108243216
102,112550881,112550881
103,116985856,116985856
104,121550625,121550625
105,126247696,126247696
106,131079601,131079601
107,136048896,136048896
108,141158161,141158161
109,146410000,146410000
110,151807041,151807041
111,157351936,157351936
112,163047361,163047361
113,168896016,168896016
114,174900625,174900625
115,181063936,181063936
116,187388721,187388721
117,193877776,193877776
118,200533921,200533921
119,207360000,207360000
