item_id,type,skill_kind,skill_lv,gain_skillexp,cost_res,cost_num,need_item,need_itemnum,profession,need_money,need_book,Chance,SpecialID
1002,Player,120,10,,,,3001;3101;3401,5;3;3,,240,,100,21002
1003,Player,120,10,,,,3001;3101;3401;5086,8;4;4;1,,320,,100,21003
1004,Player,120,20,,,,3002;3102;3402;5086,12;7;7;2,,480,,100,21004
1005,Player,120,20,,,,3002;3102;3402;5086,18;10;10;4,,720,,100,21005
1006,Player,120,30,,,,3003;3103;3403;5086,16;9;9;3,,640,,100,21006
1007,Player,120,30,,,,3003;3103;3403;5086,24;14;14;6,,960,,100,21007
1008,Player,120,40,,,,3004;3104;3404;5086,20;12;12;4,,800,5175,100,21008
1009,Player,120,40,,,,3004;3104;3404;5086,30;18;18;8,,1200,5176,100,21009
1010,Player,120,40,,,,3004;3104;3404;5086,48;28;28;12,,2000,5177,100,21010
1011,Player,120,50,,,,3005;3105;3405;5086,24;14;14;5,,960,5178,100,21011
1012,Player,120,50,,,,3005;3105;3405;5086,36;21;21;10,,1440,5179,100,21012
1013,Player,120,60,,,,3006;3106;3406;5086,27;16;16;6,,1120,5180,100,21013
1014,Player,120,60,,,,3006;3106;3406;5086,42;25;25;12,,1680,5181,100,21014
1015,Player,120,60,,,,3006;3106;3406;5086,68;40;40;18,,2800,5182,100,21015
1016,Player,120,70,,,,3007;3107;3407;5086,43;31;31;7,,2600,5183,100,21016
1017,Player,120,70,,,,3007;3107;3407;5086,59;40;40;14,,3200,5184,100,21017
1018,Player,120,70,,,,3007;3107;3407;5086,85;55;55;21,,3400,5185,100,21018
1025,Player,121,10,,,,3001;3101;3401,5;3;3,,240,,100,21025
1026,Player,121,10,,,,3001;3101;3401;5086,8;4;4;1,,320,,100,21026
1027,Player,121,20,,,,3002;3102;3402;5086,12;7;7;2,,480,,100,21027
1028,Player,121,20,,,,3002;3102;3402;5086,18;10;10;4,,720,,100,21028
1029,Player,121,30,,,,3003;3103;3403;5086,16;9;9;3,,640,,100,21029
1030,Player,121,30,,,,3003;3103;3403;5086,24;14;14;6,,960,,100,21030
1031,Player,121,40,,,,3004;3104;3404;5086,20;12;12;4,,800,5198,100,21031
1032,Player,121,40,,,,3004;3104;3404;5086,30;18;18;8,,1200,5199,100,21032
1033,Player,121,40,,,,3004;3104;3404;5086,48;28;28;12,,2000,5200,100,21033
1034,Player,121,50,,,,3005;3105;3405;5086,24;14;14;5,,960,5201,100,21034
1035,Player,121,50,,,,3005;3105;3405;5086,36;21;21;10,,1440,5202,100,21035
1036,Player,121,60,,,,3006;3106;3406;5086,27;16;16;6,,1120,5203,100,21036
1037,Player,121,60,,,,3006;3106;3406;5086,42;25;25;12,,1680,5204,100,21037
1038,Player,121,60,,,,3006;3106;3406;5086,68;40;40;18,,2800,5205,100,21038
1039,Player,121,70,,,,3007;3107;3407;5086,43;31;31;7,,2600,5206,100,21039
1040,Player,121,70,,,,3007;3107;3407;5086,59;40;40;14,,3200,5207,100,21040
1041,Player,121,70,,,,3007;3107;3407;5086,85;55;55;21,,3400,5208,100,21041
1048,Player,122,10,,,,3001;3101;3401,5;3;3,,240,,100,21048
1049,Player,122,10,,,,3001;3101;3401;5086,8;4;4;1,,320,,100,21049
1050,Player,122,20,,,,3002;3102;3402;5086,12;7;7;2,,480,,100,21050
1051,Player,122,20,,,,3002;3102;3402;5086,18;10;10;4,,720,,100,21051
1052,Player,122,30,,,,3003;3103;3403;5086,16;9;9;3,,640,,100,21052
1053,Player,122,30,,,,3003;3103;3403;5086,24;14;14;6,,960,,100,21053
1054,Player,122,40,,,,3004;3104;3404;5086,20;12;12;4,,800,5221,100,21054
1055,Player,122,40,,,,3004;3104;3404;5086,30;18;18;8,,1200,5222,100,21055
1056,Player,122,40,,,,3004;3104;3404;5086,48;28;28;12,,2000,5223,100,21056
1057,Player,122,50,,,,3005;3105;3405;5086,24;14;14;5,,960,5224,100,21057
1058,Player,122,50,,,,3005;3105;3405;5086,36;21;21;10,,1440,5225,100,21058
1059,Player,122,60,,,,3006;3106;3406;5086,27;16;16;6,,1120,5226,100,21059
1060,Player,122,60,,,,3006;3106;3406;5086,42;25;25;12,,1680,5227,100,21060
1061,Player,122,60,,,,3006;3106;3406;5086,68;40;40;18,,2800,5228,100,21061
1062,Player,122,70,,,,3007;3107;3407;5086,43;31;31;7,,2600,5229,100,21062
1063,Player,122,70,,,,3007;3107;3407;5086,59;40;40;14,,3200,5230,100,21063
1064,Player,122,70,,,,3007;3107;3407;5086,85;55;55;21,,3400,5231,100,21064
1071,Player,123,10,,,,3001;3101;3401,5;3;3,,240,,100,21071
1072,Player,123,10,,,,3001;3101;3401;5086,8;4;4;1,,320,,100,21072
1073,Player,123,20,,,,3002;3102;3402;5086,12;7;7;2,,480,,100,21073
1074,Player,123,20,,,,3002;3102;3402;5086,18;10;10;4,,720,,100,21074
1075,Player,123,30,,,,3003;3103;3403;5086,16;9;9;3,,640,,100,21075
1076,Player,123,30,,,,3003;3103;3403;5086,24;14;14;6,,960,,100,21076
1077,Player,123,40,,,,3004;3104;3404;5086,20;12;12;4,,800,5244,100,21077
1078,Player,123,40,,,,3004;3104;3404;5086,30;18;18;8,,1200,5245,100,21078
1079,Player,123,40,,,,3004;3104;3404;5086,48;28;28;12,,2000,5246,100,21079
1080,Player,123,50,,,,3005;3105;3405;5086,24;14;14;5,,960,5247,100,21080
1081,Player,123,50,,,,3005;3105;3405;5086,36;21;21;10,,1440,5248,100,21081
1082,Player,123,60,,,,3006;3106;3406;5086,27;16;16;6,,1120,5249,100,21082
1083,Player,123,60,,,,3006;3106;3406;5086,42;25;25;12,,1680,5250,100,21083
1084,Player,123,60,,,,3006;3106;3406;5086,68;40;40;18,,2800,5251,100,21084
1085,Player,123,70,,,,3007;3107;3407;5086,43;31;31;7,,2600,5252,100,21085
1086,Player,123,70,,,,3007;3107;3407;5086,59;40;40;14,,3200,5253,100,21086
1087,Player,123,70,,,,3007;3107;3407;5086,85;55;55;21,,3400,5254,100,21087
1095,Player,125,10,,,,3001;3101;3401,3;5;3,,240,,100,21094
1094,Player,125,10,,,,3001;3101;3401;5086,4;8;4;1,,320,,100,21095
1097,Player,125,20,,,,3002;3102;3402;5086,7;12;7;2,,480,,100,21096
1096,Player,125,20,,,,3002;3102;3402;5086,10;18;10;4,,720,,100,21097
1099,Player,125,30,,,,3003;3103;3403;5086,9;16;9;3,,640,,100,21098
1098,Player,125,30,,,,3003;3103;3403;5086,14;24;14;6,,960,,100,21099
1101,Player,125,40,,,,3004;3104;3404;5086,12;20;12;4,,800,5267,100,21100
1100,Player,125,40,,,,3004;3104;3404;5086,18;30;18;8,,1200,5268,100,21101
1102,Player,125,40,,,,3004;3104;3404;5086,28;48;28;12,,2000,5269,100,21102
1104,Player,125,50,,,,3005;3105;3405;5086,14;24;14;5,,960,5270,100,21103
1103,Player,125,50,,,,3005;3105;3405;5086,21;36;21;10,,1440,5271,100,21104
1106,Player,125,60,,,,3006;3106;3406;5086,16;27;16;6,,1120,5272,100,21105
1105,Player,125,60,,,,3006;3106;3406;5086,25;42;25;12,,1680,5273,100,21106
1107,Player,125,60,,,,3006;3106;3406;5086,40;68;40;18,,2800,5274,100,21107
1108,Player,125,70,,,,3007;3107;3407;5086,43;31;31;7,,2600,5275,100,21108
1109,Player,125,70,,,,3007;3107;3407;5086,59;40;40;14,,3200,5276,100,21109
1110,Player,125,70,,,,3007;3107;3407;5086,85;55;55;21,,3400,5277,100,21110
1117,Player,124,10,,,,3001;3101;3401,5;3;3,,240,,100,21117
1118,Player,124,10,,,,3001;3101;3401;5086,8;4;4;1,,320,,100,21118
1119,Player,124,20,,,,3002;3102;3402;5086,12;7;7;2,,480,,100,21119
1120,Player,124,20,,,,3002;3102;3402;5086,18;10;10;4,,720,,100,21120
1121,Player,124,30,,,,3003;3103;3403;5086,16;9;9;3,,640,,100,21121
1122,Player,124,30,,,,3003;3103;3403;5086,24;14;14;6,,960,,100,21122
1123,Player,124,40,,,,3004;3104;3404;5086,20;12;12;4,,800,5290,100,21123
1124,Player,124,40,,,,3004;3104;3404;5086,30;18;18;8,,1200,5291,100,21124
1125,Player,124,40,,,,3004;3104;3404;5086,48;28;28;12,,2000,5292,100,21125
1126,Player,124,50,,,,3005;3105;3405;5086,24;14;14;5,,960,5293,100,21126
1127,Player,124,50,,,,3005;3105;3405;5086,36;21;21;10,,1440,5294,100,21127
1128,Player,124,60,,,,3006;3106;3406;5086,27;16;16;6,,1120,5295,100,21128
1129,Player,124,60,,,,3006;3106;3406;5086,42;25;25;12,,1680,5296,100,21129
1130,Player,124,60,,,,3006;3106;3406;5086,68;40;40;18,,2800,5297,100,21130
1131,Player,124,70,,,,3007;3107;3407;5086,43;31;31;7,,2600,5298,100,21131
1132,Player,124,70,,,,3007;3107;3407;5086,59;40;40;14,,3200,5299,100,21132
1133,Player,124,70,,,,3007;3107;3407;5086,85;55;55;21,,3400,5300,100,21133
1163,Player,127,10,,,,3001;3101;3401,5;3;3,,240,,100,21163
1164,Player,127,10,,,,3001;3101;3401;5086,8;4;4;1,,320,,100,21164
1165,Player,127,20,,,,3002;3102;3402;5086,12;7;7;2,,480,,100,21165
1166,Player,127,20,,,,3002;3102;3402;5086,18;10;10;4,,720,,100,21166
1167,Player,127,30,,,,3003;3103;3403;5086,16;9;9;3,,640,,100,21167
1168,Player,127,30,,,,3003;3103;3403;5086,24;14;14;6,,960,,100,21168
1169,Player,127,40,,,,3004;3104;3404;5086,20;12;12;4,,800,5336,100,21169
1170,Player,127,40,,,,3004;3104;3404;5086,30;18;18;8,,1200,5337,100,21170
1171,Player,127,40,,,,3004;3104;3404;5086,48;28;28;12,,2000,5338,100,21171
1172,Player,127,50,,,,3005;3105;3405;5086,24;14;14;5,,960,5339,100,21172
1173,Player,127,50,,,,3005;3105;3405;5086,36;21;21;10,,1440,5340,100,21173
1174,Player,127,60,,,,3006;3106;3406;5086,27;16;16;6,,1120,5341,100,21174
1175,Player,127,60,,,,3006;3106;3406;5086,42;25;25;12,,1680,5342,100,21175
1176,Player,127,60,,,,3006;3106;3406;5086,68;40;40;18,,2800,5343,100,21176
1177,Player,127,70,,,,3007;3107;3407;5086,43;31;31;7,,2600,5344,100,21177
1178,Player,127,70,,,,3007;3107;3407;5086,59;40;40;14,,3200,5345,100,21178
1179,Player,127,70,,,,3007;3107;3407;5086,85;55;55;21,,3400,5346,100,21179
1186,Player,131,10,,,,3001;3101;3401,3;3;5,,240,,100,21186
1187,Player,131,10,,,,3001;3101;3401;5086,4;4;8;1,,320,,100,21187
1188,Player,131,20,,,,3002;3102;3402;5086,7;7;12;2,,480,,100,21188
1189,Player,131,20,,,,3002;3102;3402;5086,10;10;18;4,,720,,100,21189
1190,Player,131,30,,,,3003;3103;3403;5086,9;9;16;3,,640,,100,21190
1191,Player,131,30,,,,3003;3103;3403;5086,14;14;24;6,,960,,100,21191
1192,Player,131,40,,,,3004;3104;3404;5086,12;12;20;4,,800,5359,100,21192
1193,Player,131,40,,,,3004;3104;3404;5086,18;18;30;8,,1200,5360,100,21193
1194,Player,131,40,,,,3004;3104;3404;5086,28;28;48;12,,2000,5361,100,21194
1195,Player,131,50,,,,3005;3105;3405;5086,14;14;24;5,,960,5362,100,21195
1196,Player,131,50,,,,3005;3105;3405;5086,21;21;36;10,,1440,5363,100,21196
1197,Player,131,60,,,,3006;3106;3406;5086,16;16;27;6,,1120,5364,100,21197
1198,Player,131,60,,,,3006;3106;3406;5086,25;25;42;12,,1680,5365,100,21198
1199,Player,131,60,,,,3006;3106;3406;5086,40;40;68;18,,2800,5366,100,21199
1200,Player,131,70,,,,3007;3107;3407;5086,43;31;31;7,,2600,5367,100,21200
1201,Player,131,70,,,,3007;3107;3407;5086,59;40;40;14,,3200,5368,100,21201
1202,Player,131,70,,,,3007;3107;3407;5086,85;55;55;21,,3400,5369,100,21202
1203,Player,131,70,,,,3007;3107;3407;5086,100;75;75;28,,4100,5370,100,21203
1210,Player,141,10,,,,3001;3101;3401,5;3;3,,240,,100,21210
1211,Player,141,10,,,,3001;3101;3401;5086,8;4;4;1,,320,,100,21211
1212,Player,141,20,,,,3002;3102;3402;5086,12;7;7;2,,480,,100,21212
1213,Player,141,20,,,,3002;3102;3402;5086,18;10;10;4,,720,,100,21213
1214,Player,141,30,,,,3003;3103;3403;5086,16;9;9;3,,640,,100,21214
1215,Player,141,30,,,,3003;3103;3403;5086,24;14;14;6,,960,,100,21215
1216,Player,141,40,,,,3004;3104;3404;5086,20;12;12;4,,800,5383,100,21216
1217,Player,141,40,,,,3004;3104;3404;5086,30;18;18;8,,1200,5384,100,21217
1218,Player,141,40,,,,3004;3104;3404;5086,48;28;28;12,,2000,5385,100,21218
1219,Player,141,50,,,,3005;3105;3405;5086,24;14;14;5,,960,5386,100,21219
1220,Player,141,50,,,,3005;3105;3405;5086,36;21;21;10,,1440,5387,100,21220
1221,Player,141,60,,,,3006;3106;3406;5086,27;16;16;6,,1120,5388,100,21221
1222,Player,141,60,,,,3006;3106;3406;5086,42;25;25;12,,1680,5389,100,21222
1223,Player,141,60,,,,3006;3106;3406;5086,68;40;40;18,,2800,5390,100,21223
1224,Player,141,70,,,,3007;3107;3407;5086,43;31;31;7,,2600,5391,100,21224
1225,Player,141,70,,,,3007;3107;3407;5086,59;40;40;14,,3200,5392,100,21225
1226,Player,141,70,,,,3007;3107;3407;5086,85;55;55;21,,3400,5393,100,21226
1233,Player,142,10,,,,3001;3101;3401,3;3;5,,240,,100,21233
1234,Player,142,10,,,,3001;3101;3401;5086,4;4;8;1,,320,,100,21234
