ID,Level,LevelExp,AssetsID,MonsterID,NpcID,Name,Desc,Icon,DefalutSkill,Race,RaceIcon,PT_HpMax,PT_MpMax,PT_Attack,PT_Defense,PT_Agile,PT_Spirit,PT_Reply,PT_Magicattack,PT_Magicdefense,PT_Hit,PT_Dodge,PT_Crit,PT_counterpunch,PT_NoSleep,PT_NoPetrifaction,PT_NoDrunk,PT_NoChaos,PT_NoForget,PT_NoPoison,AI_class,Fire,Water,Ground,Wind
1,1,500,43,80001,"60000,60001;60002,60003",风之守护兽,诞生于风暴中的守护兽,huanglong_icon,1:1;2:1;2291:10;2081:4;2091:4;2101:4;2111:4;2121:10;2511:4;2501:4,RT_Dragon,cw_shuxing5,200,150,80,50,60,40,100,5,4,0,0,0,0,0,0,0,0,0,0,1,,,,10
1,2,550,43,80001,"60000,60001;60002,60003",风之守护兽,诞生于风暴中的守护兽,huanglong_icon,1:1;2:1;2291:10;2081:4;2091:4;2101:4;2111:4;2121:10;2511:4;2501:4,RT_Dragon,cw_shuxing5,260,165,95,62,80,42,102,8,6,0,0,0,0,0,0,0,0,0,0,1,,,,10
1,3,600,43,80001,"60000,60001;60002,60003",风之守护兽,诞生于风暴中的守护兽,huanglong_icon,1:1;2:1;2291:10;2081:4;2091:4;2101:4;2111:4;2121:10;2511:4;2501:4,RT_Dragon,cw_shuxing5,320,180,110,74,100,44,104,11,8,0,0,0,0,0,0,0,0,0,0,1,,,,10
1,4,650,43,80001,"60000,60001;60002,60003",风之守护兽,诞生于风暴中的守护兽,huanglong_icon,1:1;2:1;2291:10;2081:4;2091:4;2101:4;2111:4;2121:10;2511:4;2501:4,RT_Dragon,cw_shuxing5,380,195,125,86,120,46,106,14,10,0,0,0,0,0,0,0,0,0,0,1,,,,10
1,5,700,43,80001,"60000,60001;60002,60003",风之守护兽,诞生于风暴中的守护兽,huanglong_icon,1:1;2:1;2291:10;2081:4;2091:4;2101:4;2111:4;2121:10;2511:4;2501:4,RT_Dragon,cw_shuxing5,440,210,140,98,140,48,108,17,12,0,0,0,0,0,0,0,0,0,0,1,,,,10
1,6,750,43,80001,"60000,60001;60002,60003",风之守护兽,诞生于风暴中的守护兽,huanglong_icon,1:1;2:1;2291:10;2081:4;2091:4;2101:4;2111:4;2121:10;2511:4;2501:4,RT_Dragon,cw_shuxing5,500,225,155,110,160,50,110,20,14,0,0,0,0,0,0,0,0,0,0,1,,,,10
1,7,800,43,80001,"60000,60001;60002,60003",风之守护兽,诞生于风暴中的守护兽,huanglong_icon,1:1;2:1;2291:10;2081:4;2091:4;2101:4;2111:4;2121:10;2511:4;2501:4,RT_Dragon,cw_shuxing5,560,240,170,122,180,52,112,23,16,0,0,0,0,0,0,0,0,0,0,1,,,,10
1,8,850,43,80001,"60000,60001;60002,60003",风之守护兽,诞生于风暴中的守护兽,huanglong_icon,1:1;2:1;2291:10;2081:4;2091:4;2101:4;2111:4;2121:10;2511:4;2501:4,RT_Dragon,cw_shuxing5,620,255,185,134,200,54,114,26,18,0,0,0,0,0,0,0,0,0,0,1,,,,10
1,9,900,43,80001,"60000,60001;60002,60003",风之守护兽,诞生于风暴中的守护兽,huanglong_icon,1:1;2:1;2291:10;2081:4;2091:4;2101:4;2111:4;2121:10;2511:4;2501:4,RT_Dragon,cw_shuxing5,680,270,200,146,220,56,116,29,20,0,0,0,0,0,0,0,0,0,0,1,,,,10
1,10,1000,43,80001,"60000,60001;60002,60003",风之守护兽,诞生于风暴中的守护兽,huanglong_icon,1:1;2:1;2291:10;2081:4;2091:4;2101:4;2111:4;2121:10;2511:4;2501:4,RT_Dragon,cw_shuxing5,740,285,215,158,240,58,118,32,22,0,0,0,0,0,0,0,0,0,0,1,,,,10
