NpcId,PosX,PosZ,PosY,RotY,AssetID,NpcName,NpcQuest,NpcTalk,BabySkillLearn,UIAssetsId,QuestID,Transfer,NpcType,SceneID,OpenLv,
1,7.327,23.22,0,0,28,小姑娘,1;2;3;90015;4;6;7,5000,,,,,NT_Normal,2,0,
2,-9.85,1.5,0,0,9,村长,4;6;7;9;1;2;3;90015,5001,,,,,NT_Normal,2,0,
3,-1.21,-3.45,0,0,7,宠物训练师,8,5002,4025;4029;4033;4037;4041;4045;4049;4057;4065;4073;4081;4089;4097;4105;4113;4117;4121;4125;4129;4133;4141;4001;4005;4009;4013;4017,UIASSETS__BabySkillLearning,,2;3,NT_Normal,2,0,
4,8.756,0.645,0,0,59,守卫 伊万,10;11,5003,,,,,NT_Normal,2,0,
5,14.18,9.51,0,0,60,守卫 伊卡,12;13;14;15;17,5004,,,,,NT_Normal,20,0,
6,-11.82,11.79,0,145.8,37,行商人,18;19,5005,,,,,NT_Normal,3,0,
7,17.23,-3.177,0,179.2,9,镇长,20;21;22;23;24;33;34;38;42;64;67,5012,,,,,NT_Normal,30,0,
8,7.43,-2.81,0,145.7,49,木匠,25;26;39;40;41;52;53;58;59,5013,,,,,NT_Normal,30,0,
9,7.53,-7.57,0,150,40,厨娘,27;28;47;49;50;62;63;65;66,5014,,,,,NT_Normal,30,0,
10,-0.3,13.66,0,150.2,38,隐士,29;31;32;43;44;45;46;48;55;56;60;61;90005,5016,,,,,NT_Normal,30,0,
11,-15.36,18.47,0,168.4153,243,女将军,68;69;70;71;75,5017,,,,,NT_Normal,4,0,
12,2.32484,14.1926,0,166.0927,248,侍卫长,72;73;74;76;77;78,5022,,,,,NT_Normal,4,0,
13,8.80375,12.5837,0,163.076,249,沙漠之狐,79;80;81;82;83;84;85;86;87;88;89;121;122,5023,,,,,NT_Normal,4,0,
14,7.98125,49.085,0,169.389,102,沙漠斥候,90;91;92;93;94,5024,,,,,NT_Normal,40,0,
15,-8.793411,59.0443,0,181.8837,134,火焰石像公告,95;96;97,5026,,,,,NT_Normal,40,0,
16,10.9838,66.0947,0,187.8992,133,寒冰石像公告,98;99;100;101,5027,,,,,NT_Normal,40,0,
17,-4.0787,77.0195,0,185.2573,136,赤土石像公告,102;103;104;105,5028,,,,,NT_Normal,40,0,
18,-7.57,66.635,0,194.3574,246,雪貂 贾希拉,106;107;108;109;110;111;112;113;114;115;123;124;125;126;127,5029,,,,,NT_Normal,40,0,
19,-10.509,64.286,0,181.861,290,军需官 纳威,116;117;118;119;120,5030,,,,,NT_Normal,40,0,
20,-17.53,5.2,0,180.734,38,雪斧 卡立德,128;129;130;131;132;133;134;135;136;161;162;163;164;165;166,5031,,,,,NT_Normal,5,0,
21,-14.12,-3.99,0,183.3479,257,雪女 苏娅,137;138;139;140;141;142;143;144;145;146;147;155;156;157;158;159;160,5032,,,,,NT_Normal,5,0,
22,-20.81,-0.45,0,204.15,169,龙女 卡法莉,148;149;150;151;152;153;154,5033,,,,,NT_Normal,5,0,
23,10.8,9.47,0,-180,52,冰雪女王 玛利亚,167;168;169;170,5034,,,,,NT_Normal,108,0,
24,10.8,9.47,0,5.086596,196,死灵法师 科托,171;172;173;174;175,5035,,,,,NT_Normal,208,0,
25,0.07,-3.85,0,0,196,科托,175;176;177;178;179;180;181;182,508,,,,,NT_Normal,401,0,
26,1.18,121.71,0,177.1052,366,大祭司 库司亚,182;183;184;185;186;192;193;194;195;196;197;198;199;200;206;207,509,,,,,NT_Normal,402,0,
27,15.72,60.1,0,-175.3402,366,大祭司 库司亚,186;187;188;189;190;191;192,510,,,,,NT_Normal,403,0,
28,3.09,120.4,0,177.1052,232,先知 麦哲伦,200;207;208,511,,,,,NT_Normal,402,0,
29,6.23,-6.37,0,-91.3009,232,先知 麦哲伦,201;202;203;204;205;206,512,,,,,NT_Normal,404,0,
30,4.43,62.32,0,-175.3402,375,先祖守卫,,513,,,186,,NT_Normal,403,0,
31,4.65,50.02,0,-175.3402,226,先祖-无畏,,514,,,187,,NT_Normal,403,0,
32,-7.76,44.64,0,-175.3402,262,先祖-勇气,,515,,,188,,NT_Normal,403,0,
33,-9.36,56.27,0,-175.3402,193,先祖-智慧,,516,,,189,,NT_Normal,403,0,
34,-6.58,56.43,0,-175.3402,241,先祖-公平,,517,,,190,,NT_Normal,403,0,
35,-7.67,64.86,0,-175.3402,120,先祖-善良,,518,,,191,,NT_Normal,403,0,
36,-7.64,68.82,0,-175.3402,374,先祖之魂,,519,,,192,,NT_Normal,403,0,
37,7.59,-1.15,0,177.1052,127,魔影先锋,,520,,,202,,NT_Normal,404,0,
38,8.01,4.64,0,177.1052,201,魔影骑士,,521,,,203,,NT_Normal,404,0,
39,6.24,20.05,0,177.1052,131,魔影领主,,522,,,204,,NT_Normal,404,0,
40,5.03,38,0,177.1052,372,漆黑之影,,523,,,205,,NT_Normal,404,0,
41,7.12,-10.12,0,-180,377,封印守卫,,524,,,181,,NT_Normal,401,0,
42,-3.49,116.04,0,177.1052,371,部落巫师,,525,,,,,NT_Normal,402,0,
43,7.76,128.21,0,177.1052,369,部落商人,,526,,,,,NT_Normal,402,0,
44,0.54,130.6,0,177.1052,368,部落酋长,,527,,,,,NT_Normal,402,0,
45,-7.93,129.73,0,177.1052,370,部落铁匠,,528,,,,,NT_Normal,402,0,
46,5.93,114.92,0,177.1052,367,部落居民,,529,,,,,NT_Normal,402,0,
47,-48.56,124.95,0,177.1052,374,远古意志,,40010,,,20060,,NT_Normal,402,0,
48,-16.74,79.4,0,177.1052,372,深渊鬼影,,40011,,,20070,,NT_Normal,402,0,
49,7.292,-1.408,0,-51.25775,232,全职高手,52000;52001;52002;52003;52004;52005;52006;52007;52008;52009;52010;,40114,,,,,NT_Tongji,999,30,
50,3.546,14.305,0,10.02501,361,战斧师范,,40115,,,52001,,NT_Normal,2,30,
51,-5.452,-2.435,0,10.02501,362,剑士师范,,40116,,,52002,,NT_Normal,2,30,
52,-0.923,21.189,0,149.453,363,骑士师范,,40117,,,52003,,NT_Normal,30,30,
53,-2.65,-9.361,0,83.82417,359,猎人师范,,40118,,,52004,,NT_Normal,30,30,
54,8.49,-11.7,0,104.1041,360,武僧师范,,40119,,,52005,,NT_Normal,30,30,
55,-55.73,-18.71,0,90.03857,364,影,,40120,,,52006,,NT_Normal,1,30,
56,-41.532,16.806,0,-176.0031,358,魔导士,,40121,,,52007,,NT_Normal,1,30,
57,-41.87,4.42,0,-176.0031,356,主教,,40122,,,52008,,NT_Normal,1,30,
58,-1.601,67.12,0,111.551,365,巫术大师,,40123,,,52009,,NT_Normal,40,30,
59,2.741,59.78,0,-163.6686,357,降头师,,40124,,,52010,,NT_Normal,40,30,
100,0,0,0,0,1,女猎人,,5006,,,,,,,0,
101,0,0,0,0,3,女法师,,5007,,,,,,,0,
102,0,0,0,0,12,胆小牧师,,5008,,,,,,,0,
103,0,0,0,0,13,女佣兵 苏姗,,5009,,,,,,,0,
104,0,0,0,0,12,退休骑士,,5010,,,,,,,0,
200,1.96,-1.1,0,0,39,老英雄 佩普,,5015,10000;10001;10002;10003,UIASSETS_ProfessionPanel,1,,NT_Normal,2,0,
201,3.651,4.365,0,-140.0387,38,盲剑士,10004;60001;60002;60003,5018,,,,,NT_Normal,999,,
202,1.301,0.446,0,-140.0387,102,暗影刺客大师,10005;60004;60005;60006,5019,,,,,NT_Normal,999,,
203,2.305,-0.481,0,-137.2741,101,咒术之火,10006;60007;60008;60009;60010,5020,,,,,NT_Normal,999,,
204,6.322,2.321,0,-140.0387,104,兽王,,5021,,,,,NT_Normal,999,,
205,12.699,-5.44,0,178.4,39,老英雄 佩普,36;37;57;10100;10101;10102;10103;10104;10105;10106;10108;10109;10110;90009,5015,,,,,NT_Normal,30,,
206,0,0,0,0,40,刮刮卡领奖人 妮妮,,5025,,UIASSETS_ExchangePanel,,,,,,
207,-0.763,2.348,0,-140.0387,232,大贤者,5;10012;10013;10014;10015,5039,,,,,NT_Normal,999,,
500,-4.714,4.6,0,-13.10226,49,盗匪首领,,1000,,,90015,,NT_Normal,2,0,
501,2.09,-7.78,0,0,2,牛头人,,1001,,,11,,NT_Normal,100,0,
502,-5.94,-4.677,0,0,114,阴影,,1002,,,17,,NT_Normal,202,0,
503,0,0,0,0,30,大棕熊,,1003,,,,,,,0,
504,-4.21,-2.67,0,0,19,捣蛋鬼,,1004,,,5,,NT_Normal,2,0,
505,0,0,0,0,18,盗匪 巴托,,1005,,,,,,,0,
506,-7.65,3.92,0,0,16,初级僵尸,,1006,,,6,,NT_Normal,2,,
507,-9.54,14.55,0,157.3,115,炸弹魔,,1007,,,19,,NT_Normal,3,,
508,14.47,-15.52,0,206.5371,85,食人魔 奥兹,,1008,,,21,,NT_Normal,30,,
509,22.63,-0.08,0,167.7009,84,食人魔首领 克洛,,1009,,,23,,NT_Normal,101,,
510,3.077,-3.918,0,0,68,海巨龙 布鲁特韦姆,,1010,,,67,,NT_Normal,6,,
511,-2.91,-10.74,0,0,79,僵尸实验体,,1011,,,14,,NT_Normal,102,,
512,9.90891,-3.12379,0,216.4434,87,恶魔食人花,,1012,,,39,,NT_Normal,30,,
513,-2.06,-1.47,0,184.3283,175,巨熊,,1013,,,10111;10112;10113;10114;10115;10116;10117;10119;10120;10121,,NT_Normal,5,,
514,10.09,-8.01,0,160.1193,76,巨人 巴罗斯,,1014,,,44,,NT_Normal,101,,
515,11.24,-4.48,0,169.7,203,刺客 阿一,,1015,,,47,,NT_Normal,30,,
516,-9.15,-13.21,0,161.0518,83,食人魔法师 波坎,,1016,,,53,,NT_Normal,103,,
517,0.6,-25.88,0,161.7985,220,蜥蜴人 扎戈,,1017,,,57,,NT_Normal,103,,
518,-6.15,-5.31,0,0,129,白恶魔 吉拉斯,,1018,,,60,,NT_Normal,6,,
519,11.24,-4.48,0,169.7,75,恶狼 希斯,,1019,,,64,,NT_Normal,30,,
520,-7.5425,14.1612,0,162.8862,202,沙鹰刺客大师 罗塞尔,,1020,,,70,,NT_Normal,4,,
521,-9.06875,31.1088,0,162.9733,132,变色龙 罗迪,,1021,,,77,,NT_Normal,4,,
522,-0.99,-10.63,0,0,50,惰魔,,1022,,,81,,NT_Normal,104,,
523,1.05,-1.75,0,151.0007,247,巫妖 克佳苏尔德,,1023,,,88,,NT_Normal,105,,
524,-3.42374,59.5581,0,188.1793,188,蝎子王 阿克苏,,1024,,,94,,NT_Normal,40,,
525,-4.85635,48.4227,0,161.1078,111,巨型死亡蠕虫,,1025,,,97,,NT_Normal,40,,
526,7.59982,61.0666,0,184.8684,88,沙漠吞噬花,,1026,,,101,,NT_Normal,40,,
527,-12.785,68.8141,0,176.86,290,沙漠恶匪 巴托,,1027,,,104,,NT_Normal,40,,
528,24.8849,3.09593,0,157.5728,220,蜥蜴人 莫洛,,1028,,,109,,NT_Normal,106,,
529,23.1581,8.0128,0,203.2364,98,沙漠巨蜥,,1029,,,114,,NT_Normal,206,,
