runk,min,max,dropID_times,dropID_day,dropID_senson,rankName
1,0,199,320044,320014,320029,青铜III
2,200,599,320044,320015,320030,青铜II
3,600,1199,320044,320016,320031,青铜I
4,1200,1999,320044,320017,320032,白银III
5,2000,2999,320044,320018,320033,白银II
6,3000,4199,320044,320019,320034,白银I
7,4200,5599,320044,320020,320035,黄金III
8,5600,7199,320044,320021,320036,黄金II
9,7200,8999,320044,320022,320037,黄金I
10,9000,10999,320044,320023,320038,钻石III
11,11000,13199,320044,320024,320039,钻石II
12,13200,15599,320044,320025,320040,钻石I
13,15600,18199,320044,320026,320041,传奇III
14,18200,20999,320044,320027,320042,传奇II
15,21000,,320044,320028,320043,传奇I
