questName,QuestId,QuestKind,QuestType,NeedLevel,NeedItemID,RequireType,Requirement,StartNPC,StartTalk,FinishNPCScene,FinishNPC,DoingScene,DoingCoordinate,ProTalk,FinishTalk,PreQuest,Coin,Exp,Item,ItemNum,Target,TargetNum,DropID,DropID2,chuansong,QuestMiniDesc,Endtarget,QuestDes,JobType,JobLevel,Title,AcceptScript,SubmitScript,PostQuest,Bossnpc
冒险者之道,1,QK_Main,QT_Item,1,,RT_Nil,,1,1,2,2,2,"4,14",2,3,,,,,,7002,1,200001,,2;1,[info=2;200]在伊利斯村与[fbf21c]老英雄佩普[-]交谈，并在指导下完成就职任务[/info],[info=2;2]在伊利斯村内与[fbf21c]比莫夫村长[-]交谈[/info],在伊利斯村处见到老英雄佩普，他将会带你走入冒险者之道。,,,,"QuestAccept_1(RECEIVER, ARG0, ARG1, ARG2,ARG3)","QuestAccept_xinshou1(RECEIVER, ARG0, ARG1, ARG2,ARG3)",90015,
盗匪首领,90015,QK_Main,QT_KillAI,1,,RT_Nil,,2,14,2,2,2,"-4,-3",15,535,1,,,,,50000,1,210002,,2;200,[info=2;500]在伊利斯村外找到[fbf21c]盗匪首领[-]，并击败他[/info],[info=2;2]在伊利斯村内与[fbf21c]比莫夫村长[-]交谈[/info],来进行老英雄佩普给予的试炼吧，击败恶贯满盈的盗匪首领，为伊利斯村除去祸害。,,,,,,2,
盗匪的困扰,2,QK_Main,QT_KillAI,1,,RT_Nil,,2,4,2,1,2,"6,2",2,5,90015,,,,,1,2,200002,,2;1,[info=2|1]在伊利斯村外遇敌，击败2个[ff9696]盗匪[-][/info],[info=2;1]在伊利斯村外与[fbf21c]小姑娘安娜[-]交谈[/info],消灭围绕在伊利斯村周边的盗匪，接触伊利斯村盗匪的困扰。,,,,,,3,
伊利斯村的村长,3,QK_Main,QT_Dialog,1,,RT_Nil,,1,6,2,2,,,7,8,2,,,,,,,200003,,1;9562,[info=2;1]在伊利斯村外与[fbf21c]小姑娘安娜[-]交谈[/info],[info=2;2]在伊利斯村内与[fbf21c]比莫夫村长[-]交谈[/info],有很多问题要问比莫夫村长，所以马上前往伊利斯村找寻比莫夫村长吧。,,,,"QuestSubmit_2(RECEIVER, ARG0, ARG1, ARG2,ARG3)",,4,
柔软的泥巴,4,QK_Main,QT_Item,1,,RT_Nil,,2,9,2,207,2,"6,8",132000,11,3,,,,,7001,1,200004,,2;2,[info=2|3]在伊利斯村外遇敌，击败[ff9696]软泥怪[-]，收集1个[fbf21c]软泥精华[-][/info],[info=999;207]在酒吧内与[fbf21c]大贤者玛丽安娜[-]交谈[/info],软泥精华是非常好的炼金素材，帮助比莫夫村长从软泥怪身上获取软泥精华然后交予大贤者玛丽安娜吧。,,,,,,5,
村内的捣蛋鬼,5,QK_Main,QT_KillAI,1,,RT_Nil,,207,12,2,2,2,"-3.5,5.5",5039,13,4,,,,,3,1,200005,,2;207,[info=2;504]在伊利斯村内找到[fbf21c]捣蛋鬼[-]，并击败他[/info],[info=2;2]在伊利斯村内与[fbf21c]比莫夫村长[-]交谈[/info],有一个小鬼魂经常在伊利斯村内恶作剧，带着你的伙伴去击败这个捣蛋鬼吧。,,,,"QuestAccept_5(RECEIVER, ARG0, ARG1, ARG2,ARG3)",,6,
捕捉宠物,6,QK_Main,QT_Other,1,,RT_Nil,,2,47,2,2,2,"-8,4",10,48,5,,,,,0,1,200006,,2;2,[info=2;506]在伊利斯村内找到[fbf21c]初级僵尸[-]，并[00ec00]捕捉[-]他[/info],[info=2;2]在伊利斯村内与[fbf21c]比莫夫村长[-]交谈[/info],在伊利斯村内捕捉一个初级僵尸，并将初级僵尸带到比莫夫村长那里。,,,,"QuestAccept_6(RECEIVER, ARG0, ARG1, ARG2,ARG3)","QuestSubmit_6(RECEIVER, ARG0, ARG1, ARG2,ARG3)",7,
宠物的技巧,7,QK_Main,QT_Dialog,1,,RT_Nil,,2,70,2,3,,,10,71,6,,,,,,,200007,,2;2,[info=2;3]在伊利斯村内与[fbf21c]宠物训练师[-]交谈[/info],[info=2;3]在伊利斯村内与[fbf21c]宠物训练师[-]交谈[/info],宠物单靠蛮力，是帮不到冒险者什么的，所以必须找到宠物训练师，学习宠物的技能。,,,,,,8,
向着目标前行,8,QK_Main,QT_Dialog,1,,RT_Nil,,3,68,2,2,,,5002,69,7,,,,,,,200008,,2;3,[info=2;2]在伊利斯村内与[fbf21c]比莫夫村长[-]交谈[/info],[info=2;2]在伊利斯村内与[fbf21c]比莫夫村长[-]交谈[/info],马上去找比莫夫村长，看看接下来该怎么办吧。,,,,"QuestAccept_8(RECEIVER, ARG0, ARG1, ARG2,ARG3)",,9,
伊利斯山洞,9,QK_Main,QT_Dialog,1,,RT_Nil,,2,32,2,4,,,33,34,8,,,,,,,200009,,2;2,[info=2;4]在伊利斯山洞入口外与[fbf21c]守卫伊万[-]交谈[/info],[info=2;4]在伊利斯山洞入口外与[fbf21c]守卫伊万[-]交谈[/info],根据比莫夫村长的提议，前往伊利斯山洞入口附近找寻守卫伊万寻求帮助。,,,,,,10,
扰人的蝙蝠,10,QK_Main,QT_KillAI,1,,RT_Nil,,4,35,2,4,2,"5,-2",36,37,9,,,,,5,2,200010,,2;4,[info=100|1]在伊利斯山洞内遇敌，击败2个[ff9696]蝙蝠[-][/info],[info=2;4]在伊利斯山洞入口外与[fbf21c]守卫伊万[-]交谈[/info],帮助守卫伊万消灭伊利斯山洞内的蝙蝠，山洞内随处都可以见到蝙蝠的。,,,,,,11,
可怕的牛头人,11,QK_Main,QT_KillAI,1,,RT_Nil,,4,38,2,5,2,"5,-2",36,39,10,,,,,6,1,200011,,2;4,[info=100;501]在伊利斯山洞内找到[fbf21c]牛头人[-]，并击败他[/info],[info=20;5]在伊利斯山洞出口外与[fbf21c]守卫伊卡[-]交谈[/info],遇敌，击败盘踞在伊利斯山洞内的牛头人，然后在山洞出口外找寻守卫伊万的双胞胎兄弟守卫伊卡。,,,,,,12,
不死生物,12,QK_Main,QT_KillAI,1,,RT_Nil,,5,40,2,5,2,"12,6",41,42,11,,,,,7;9,1;1,200012,,20;5,[info=102|1]在科托实验室内遇敌，击败1个[ff9696]僵尸[-]:1个[ff9696]骷髅战士[-][/info],[info=20;5]在伊利斯山洞出口外与[fbf21c]守卫伊卡[-]交谈[/info],为了更早的见到科托，需要在科托实验室内遇敌，击败僵尸和骷髅战士。,,,,"QuestAccept_18(RECEIVER, ARG0, ARG1, ARG2,ARG3)",,13,
实验室的宝物,13,QK_Main,QT_Item,1,,RT_Nil,,5,92,2,5,2,"12,6",41,93,12,,,,,7030,3,200013,,20;5,[info=102;1500]在科托实验室内，寻找3个[ff9696]实验室宝箱[-]，从中采集3个[ff9696]珍贵宝石[-][/info],[info=20;5]在伊利斯山洞出口外与[fbf21c]守卫伊卡[-]交谈[/info],帮助守卫伊卡在科托实验室内开启宝箱，收集珍贵宝石。,,,,"QuestAccept_caiji(RECEIVER, ARG0, ARG1, ARG2,ARG3)","QuestSubmit_caiji(RECEIVER, ARG0, ARG1, ARG2,ARG3)",14,
僵尸实验体,14,QK_Main,QT_KillAI,1,,RT_Nil,,5,94,2,5,2,"12,6",41,95,13,,,,,8,1,200014,,20;5,[info=102;511]在科托实验室内找到[fbf21c]僵尸实验体[-]，并击败他[/info],[info=20;5]在伊利斯山洞出口外与[fbf21c]守卫伊卡[-]交谈[/info],帮助守卫伊卡在科托实验室内遇敌，击败恐怖的僵尸实验体吧。,,,,,,15,
秘密矿石,15,QK_Main,QT_Item,1,,RT_Nil,,5,96,2,5,2,"12,6",41,97,14,,,,,7031,3,200015,,20;5,[info=102;1503]在科托实验室内，寻找3个[ff9696]实验室矿脉[-]，从中采集3个[ff9696]矿石[-][/info],[info=20;5]在伊利斯山洞出口外与[fbf21c]守卫伊卡[-]交谈[/info],帮助守卫伊卡在科托实验室内挖掘矿脉，收集矿石。,,,,"QuestAccept_caiji1(RECEIVER, ARG0, ARG1, ARG2,ARG3)","QuestSubmit_caiji2(RECEIVER, ARG0, ARG1, ARG2,ARG3)",17,
实验室内的阴影,17,QK_Main,QT_KillAI,1,,RT_Nil,,5,45,2,6,2,"12,6",41,46,15,,,,,10,1,200017,,20;5,[info=202;502]在科托实验室内找到[fbf21c]阴影[-]，并击败他[/info],[info=3;6]在甲壳山洞入口处与[fbf21c]行商人马克[-]交谈[/info],带着亡灵抵御剂，前往科托实验室与阴影进行战斗。,,,,,,18,
毒蝎,18,QK_Main,QT_KillAI,1,,RT_Nil,,6,49,2,6,,,50,51,17,,,,,11,2,200018,,3;6,[info=3|1]在甲壳荒地遇敌，击败2个[ff9696]毒蝎[-][/info],[info=3;6]在甲壳山洞入口处与[fbf21c]行商人马克[-]交谈[/info],帮助行商人马克在甲壳荒地遇敌，击败毒蝎，山洞内随处都可以见到毒蝎的。,,,,,"QuestSubmit_18(RECEIVER, ARG0, ARG1, ARG2,ARG3)",19,
炸弹炸弹,19,QK_Main,QT_KillAI,1,,RT_Nil,,6,52,2,7,,,50,53,18,,,,,12,1,200019,,3;6,[info=3;507]在甲壳荒地找到[fbf21c]炸弹魔[-]，并击败他[/info],[info=30;7]在罗德里镇内与[fbf21c]镇长耶鲁卡夫[-]交谈[/info],在甲壳荒地遇敌，击败炸弹魔，然后穿过山洞到罗德里镇找耶鲁卡夫镇长。,,,,"QuestAccept_23(RECEIVER, ARG0, ARG1, ARG2,ARG3)",,20,
食人魔之乱,20,QK_Main,QT_KillAI,1,,RT_Nil,,7,54,2,7,,,55,56,19,,,,,13,2,200020,,30;7,[info=101|3]在甲壳山洞遇敌，击败2个[ff9696]食人魔[-][/info],[info=30;7]在罗德里镇内与[fbf21c]镇长耶鲁卡夫[-]交谈[/info],帮助耶鲁卡夫镇长在甲壳山洞内消灭食人魔，山洞内随处可见食人魔。,,,,,,21,
罗德里镇大危机,21,QK_Main,QT_KillAI,1,,RT_Nil,,7,57,2,7,,,55,58,20,,,,,14,1,200021,,30;7,[info=30;508]在罗德里镇内找到[fbf21c]食人魔奥兹[-]，并击败他[/info],[info=30;7]在罗德里镇内与[fbf21c]镇长耶鲁卡夫[-]交谈[/info],食人魔侵入了罗德里镇，为了阻止食人魔的侵害，在城堡组队后，与罗德里镇内的食人魔奥兹交战，并击败他。,,,,,,22,
食人魔的手下,22,QK_Main,QT_Item,1,,RT_Nil,,7,59,2,7,,,55,60,21,,,,,7009,2,200022,,30;7,[info=101|3]在甲壳山洞遇敌，击败[ff9696]哥布林[-]，收集2个[fbf21c]哥布林长矛[-][/info],[info=30;7]在罗德里镇内与[fbf21c]镇长耶鲁卡夫[-]交谈[/info],食人魔的走卒哥布林数目众多，要想限制他们，就必须在甲壳山洞遇敌，击败他们，并收集哥布林长矛。,,,,,,23,
击溃,23,QK_Main,QT_KillAI,1,,RT_Nil,,7,61,2,7,,,55,62,22,,,,,16,1,200023,,30;7,[info=101;509]在甲壳山洞找到[fbf21c]食人魔首领克洛[-]，并击败他[/info],[info=30;7]在罗德里镇内与[fbf21c]镇长耶鲁卡夫[-]交谈[/info],擒贼先擒王，只要在甲壳山洞遇敌，击败了食人魔首领克洛，就会让食人摸部落陷入崩溃。,,,,"QuestAccept_28(RECEIVER, ARG0, ARG1, ARG2,ARG3)",,24,
众人的需求,24,QK_Main,QT_Dialog,1,,RT_Nil,,7,63,2,8,,,55,64,23,,,,,,,200024,,30;7,[info=30;8]在罗德里镇内与[fbf21c]木匠麦尔[-]交谈[/info],[info=30;8]在罗德里镇内与[fbf21c]木匠麦尔[-]交谈[/info],罗德里镇已经被食人魔破坏的不成样子了，我们需要帮助这里的人重建罗德里镇，先去帮助一下木匠麦尔吧。,,,,,,25,
木工材料,25,QK_Main,QT_Item,1,,RT_Nil,,8,65,2,8,,,66,67,24,,,,,7010,2,200025,,30;8,[info=30|2]在城镇小径遇敌，击败[ff9696]树精[-]，收集2个[fbf21c]木材[-][/info],[info=30;8]在罗德里镇内与[fbf21c]木匠麦尔[-]交谈[/info],重建罗德里镇的房子，就必须要有足够的木材，去城镇小径遇敌，击败树精，收集木材吧。,,,,,,26,
小厨娘,26,QK_Main,QT_Dialog,1,,RT_Nil,,8,72,2,9,,,66,73,25,,,,,,,200026,,30;8,[info=30;9]在罗德里镇内与[fbf21c]厨娘莉莉[-]交谈[/info],[info=30;9]在罗德里镇内与[fbf21c]厨娘莉莉[-]交谈[/info],罗德里镇内有一个厨艺非常出众的厨娘，她现在很正需要帮助，让我们去帮助她吧。,,,,,"QuestAccept_20(RECEIVER, ARG0, ARG1, ARG2,ARG3)",27,
美味蜂蜜,27,QK_Main,QT_Item,21,,RT_Nil,,9,74,2,9,,,75,76,26,,,,,7011,2,200027,,30;9,[info=30|2]在城镇小径遇敌，击败[ff9696]黑熊[-]，收集2个[fbf21c]蜂蜜[-][/info],[info=30;9]在罗德里镇内与[fbf21c]厨娘莉莉[-]交谈[/info],厨娘莉莉希望为罗德里镇的人做一顿大餐，但是却缺少食材蜂蜜，让我们在城镇小径遇敌，击败黑熊来获得蜂蜜吧。,,,,,,28,
隐士,28,QK_Main,QT_Dialog,21,,RT_Nil,,9,77,2,10,,,75,78,27,,,,,,,200028,,30;9,[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],传闻在贝拉海滩，有一个非常了不起的隐士，让我们去见一见他吧。,,,,,,29,
海滩上的螃蟹,29,QK_Main,QT_KillAI,21,,RT_Nil,,10,79,2,10,,,80,81,28,,,,,19,2,200029,,30;10,[info=30|3]在贝拉海滩遇敌，击败2个[ff9696]大钳蟹[-][/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],帮助隐士麦哲伦清除掉贝拉海滩上令人不安的大钳蟹吧。,,,,,,31,
吸血之牙,31,QK_Main,QT_Item,21,,RT_Nil,,10,84,2,10,,,80,85,29,,,,,7012,2,200031,,30;10,[info=6|1]在试炼山洞遇敌，击败[ff9696]吸血海蝙蝠[-]，收集2个[fbf21c]吸血海蝙蝠之牙[-][/info],[info=30;10]在贝拉海滩与[fbf21c]隐士麦哲伦[-]交谈[/info],吸血海蝙蝠的牙齿是非常珍贵的药材，让我们去收集吸血海蝙蝠之牙吧。,,,,,,32,
科托去哪儿,32,QK_Main,QT_Dialog,21,,RT_Nil,,10,86,2,7,,,80,87,31,,,,,,,200032,,30;10,[info=30;7]在罗德里镇内与[fbf21c]镇长耶鲁卡夫[-]交谈[/info],[info=30;7]在罗德里镇内与[fbf21c]镇长耶鲁卡夫[-]交谈[/info],隐士麦哲伦老师说了很多关于格拉之泪的事情，现在就去找耶鲁卡夫镇长做最后的询问吧。,,,,,,33,
