ID,ItemID,Result
10001,,10002
10002,,10003
10003,21364;1,10004
10004,21364;1,10005
10005,21364;1,10006
10006,21364;2,10007
10007,21364;2,10008
10008,21364;2,10009
10009,21364;4,10010
10011,,10012
10012,,10013
10013,21364;1,10014
10014,21364;1,10015
10015,21364;1,10016
10016,21364;2,10017
10017,21364;2,10018
10018,21364;2,10019
10019,21364;4,10020
10021,,10022
10022,,10023
10023,21364;1,10024
10024,21364;1,10025
10025,21364;1,10026
10026,21364;2,10027
10027,21364;2,10028
10028,21364;2,10029
10029,21364;4,10030
10031,,10032
10032,,10033
10033,21364;1,10034
10034,21364;1,10035
10035,21364;1,10036
10036,21364;2,10037
10037,21364;2,10038
10038,21364;2,10039
10039,21364;4,10040
10041,,10042
10042,,10043
10043,21364;1,10044
10044,21364;1,10045
10045,21364;1,10046
10046,21364;2,10047
10047,21364;2,10048
10048,21364;2,10049
10049,21364;4,10050
10051,,10052
10052,,10053
10053,21364;1,10054
10054,21364;1,10055
10055,21364;1,10056
10056,21364;2,10057
10057,21364;2,10058
10058,21364;2,10059
10059,21364;4,10060
10061,,10062
10062,,10063
10063,21364;1,10064
10064,21364;1,10065
10065,21364;1,10066
10066,21364;2,10067
10067,21364;2,10068
10068,21364;2,10069
10069,21364;4,10070
10071,,10072
10072,,10073
10073,21364;1,10074
10074,21364;1,10075
10075,21364;1,10076
10076,21364;2,10077
10077,21364;2,10078
10078,21364;2,10079
10079,21364;4,10080
