ID,SkillName,NameEffectID,SkillDesc,SkillType,SelectedTarget,Pr,Lv,CastEffectAssetID,EffectAssetID,BeAttackAssetID,StateIDs,isMelee,isPhysic,GroupID,LearnGroup,cost,SkillTargetType,PassiveName,resIconName,resTextName,GloAction,GloCondition,Actions,Conditions,ImpactPropType,ImpactPropNum,LearnQuestID,LearnCoin,LevelUpNeedItem,exp,DontCare,LearnLv,SkillBack,SkillIconTex
1,攻击,565,普通攻击。,SKT_DefaultSecActive,,,1,-1,-1,8,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,null,0,,STT_AllNoSelf,PAT_None,gongji_icon,gonjiText,"nrm_atk(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","nrm_atk_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,,,,,,1,,
2,防御,564,进入防御状态，抵挡大部分物理攻击伤害。,SKT_DefaultSecPassive,,,1,-1,-1,9,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,,null,0,,STT_Self,PAT_Deference,fangyu_icon,fangyuText,"nrm_def(RECEIVER, ARG0, ARG1, ARG2);",,,,,,,,,,,1,,
3,闪避,,被动触发。,SKT_DefaultSecPassive,,,1,4,-1,-1,,1,,null,0,,STT_Self,PAT_Dodge,,,,,,,,,,,,,,1,,
4,换位,566,和自己的宠物更换站位。,SKT_DefaultActive,,,1,4,-1,-1,,1,,null,0,,STT_Self,PAT_Change,,,"nrm_cge(RECEIVER, ARG0, ARG1, ARG2);",,,,,,,,,,,1,,
5,反击,,反击。,SKT_DefaultSecPassive,,,1,20,-1,8,,1,1,null,0,,STT_Self,PAT_Counter,,,,,,,,,,,,,,1,,
6,逃跑,569,逃跑，离开战斗。,SKT_DefaultSecActive,,,1,52,52,8,,1,1,null,0,,STT_Self,PAT_Runaway,taopao_icon,,"nrm_raw(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);",,,,,,,,,,,1,,
7,收宠,568,收回宠物。,SKT_DefaultActive,,,1,15,-1,-1,,,,null,0,,STT_Self,PAT_BabyInnout,,,"use_baby(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,,,,,,,,,1,,
8,攻击,565,普通攻击。,SKT_DefaultSecActive,,,1,-1,-1,8,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,null,0,,STT_AllNoSelf,PAT_None,gongji_icon,gonjiText,"nrm_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);","nrm_atk_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,,,,,,1,,
9,攻击,565,普通攻击。,SKT_DefaultSecActive,,,1,-1,-1,8,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,null,0,,STT_AllNoSelf,PAT_None,gongji_icon,gonjiText,"nrm_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);","nrm_atk_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,,,,,,1,,
10,攻击,565,普通攻击。,SKT_DefaultSecActive,,,1,-1,46,8,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,,1,null,0,,STT_AllNoSelf,PAT_None,gongji_icon,gonjiText,"nrm_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);","nrm_atk_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,,,,,,1,,
11,攻击,565,普通攻击。,SKT_DefaultSecActive,,,1,-1,91,8,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,,1,null,0,,STT_AllNoSelf,PAT_None,gongji_icon,gonjiText,"xiaodao_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);","nrm_atk_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,,,,,,1,,
12,静止不动,,原地不动。,SKT_DefaultSecPassive,,,1,-1,-1,8,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,,1,null,0,,STT_AllNoSelf,PAT_None,budong_icon,budongText,"nrm_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);","budon_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,,,,,,1,,
13,捕捉,562,捕捉宠物。,SKT_DefaultActive,,,1,14,-1,-1,,,,null,0,,STT_AllNoSelf,PAT_None,,,"get_baby(RECEIVER, ARG0, ARG1, ARG2, ARG3, ARG4)",,,,,,,,,,,1,,
1001,连击等级1,531,随机攻击对象，[ff6000]2[-]次攻击，1级可用。,SKT_Active,,100,1,83,-1,12,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,连击,1,10,STT_AllNoSelf,PAT_None,lianjiIcon_icon,lianjiText,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,100,4500,5,,1,ICON_zhandou_jinengshifang_02_lianji_1.1.0,AF_zhandou_jinengshifang_02_lianji_1.1.0.0
1001,连击等级2,531,随机攻击对象，[ff6000]2[-]次攻击，10级可用。,SKT_Active,,400,2,83,-1,12,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,连击,1,15,STT_AllNoSelf,PAT_None,lianjiIcon_icon,lianjiText,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk2(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_2(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4501,6,,1,ICON_zhandou_jinengshifang_02_lianji_1.1.0,AF_zhandou_jinengshifang_02_lianji_1.1.0.0
1001,连击等级3,531,随机攻击对象，[ff6000]3[-]次攻击，20级可用。,SKT_Active,,1300,3,83,-1,12,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,连击,1,20,STT_AllNoSelf,PAT_None,lianjiIcon_icon,lianjiText,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk3(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_atk3(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_atk3(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4502,7,,1,ICON_zhandou_jinengshifang_02_lianji_1.1.0,AF_zhandou_jinengshifang_02_lianji_1.1.0.0
1001,连击等级4,531,随机攻击对象，[ff6000]3[-]次攻击，30级可用。,SKT_Active,,5300,4,84,-1,12,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,连击,1,25,STT_AllNoSelf,PAT_None,lianjiIcon_icon,lianjiText,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk4(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_4(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_4(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4503,8,,1,ICON_zhandou_jinengshifang_02_lianji_1.1.0,AF_zhandou_jinengshifang_02_lianji_1.1.0.0
1001,连击等级5,531,随机攻击对象，[ff6000]4[-]次攻击，40级可用。并且需要进阶为1转职业等级。,SKT_Active,,20600,5,84,-1,12,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,连击,1,30,STT_AllNoSelf,PAT_None,lianjiIcon_icon,lianjiText,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk5(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_5(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_5(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_5(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4504,9,,1,ICON_zhandou_jinengshifang_02_lianji_1.1.0,AF_zhandou_jinengshifang_02_lianji_1.1.0.0
1001,连击等级6,531,随机攻击对象，[ff6000]4[-]次攻击，50级可用。并且需要进阶为1转职业等级。,SKT_Active,,96600,6,84,-1,12,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,连击,1,35,STT_AllNoSelf,PAT_None,lianjiIcon_icon,lianjiText,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk6(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_6(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_6(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_6(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4505,10,,1,ICON_zhandou_jinengshifang_02_lianji_1.1.0,AF_zhandou_jinengshifang_02_lianji_1.1.0.0
1001,连击等级7,531,随机攻击对象，[ff6000]5[-]次攻击，60级可用。并且需要进阶为2转职业等级。,SKT_Active,,261600,7,85,-1,12,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,连击,1,40,STT_AllNoSelf,PAT_None,lianjiIcon_icon,lianjiText,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk7(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_7(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_7(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_7(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_7(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4506,11,,1,ICON_zhandou_jinengshifang_02_lianji_1.1.0,AF_zhandou_jinengshifang_02_lianji_1.1.0.0
1001,连击等级8,531,随机攻击对象，[ff6000]5[-]次攻击，70级可用。并且需要进阶为2转职业等级。,SKT_Active,,621600,8,85,-1,12,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,连击,1,45,STT_AllNoSelf,PAT_None,lianjiIcon_icon,lianjiText,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk8(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_8(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_8(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_8(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_8(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4507,12,,1,ICON_zhandou_jinengshifang_02_lianji_1.1.0,AF_zhandou_jinengshifang_02_lianji_1.1.0.0
1001,连击等级9,531,随机攻击对象，[ff6000]6[-]次攻击，80级可用。并且需要进阶为3转职业等级。,SKT_Active,,1271600,9,85,-1,12,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,连击,1,50,STT_AllNoSelf,PAT_None,lianjiIcon_icon,lianjiText,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk9(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_9(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_9(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_9(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_9(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_9(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,4508,13,,1,ICON_zhandou_jinengshifang_02_lianji_1.1.0,AF_zhandou_jinengshifang_02_lianji_1.1.0.0
1001,极限连击,531,随机攻击对象，[ff6000]6[-]次攻击，90级可用。并且需要进阶为3转职业等级。,SKT_Active,,,10,7,-1,12,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,连击,1,55,STT_AllNoSelf,PAT_None,lianjiIcon_icon,lianjiText,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk10(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_10(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_10(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_10(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_10(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_10(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,,1,ICON_zhandou_jinengshifang_02_lianji_1.1.0,AF_zhandou_jinengshifang_02_lianji_1.1.0.0
1011,狂暴等级1,561,提升[ff6000]7％[-]的攻击力，降低[ff6000]5％[-]的防御力，1级可用。,SKT_Active,,100,1,83,92,18,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,狂暴,1,10,STT_AllNoSelf,PAT_None,zhurenIcon_icon,UniverseText,"skill_zhuren_1(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,500,4500,5,,1,ICON_zhandou_jinengshifang_03_kuangbao_1.1.0.0,AF_zhandou_jinengshifang_03_kuangbao_1.1.0.0
1011,狂暴等级2,561,提升[ff6000]14％[-]的攻击力，降低[ff6000]10％[-]的防御力，10级可用。,SKT_Active,,400,2,83,92,18,ST_Defense;ST_Dodge;ST_ActionAbsorb;ST_Shield;ST_ActionBounce;ST_ActionInvalid,1,1,狂暴,1,18,STT_AllNoSelf,PAT_None,zhurenIcon_icon,zhurenText,"skill_zhuren_2(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,,,,,4501,6,,1,ICON_zhandou_jinengshifang_03_kuangbao_1.1.0.0,AF_zhandou_jinengshifang_03_kuangbao_1.1.0.0
