ID,AssetName
1,Attack
2,beAttackFiy
3,Countdown
4,Sound_levelup
5,BeAttack
6,Die
7,run
8,bloodingTe
9,bloodingSc
10,RebornTe
11,bloodingSc
12,bloodingSc
13,PeaceTe
14,IceMagic
15,WindMagic
16,FireMagic
17,magicSc
18,VampireMagic1
19,VampireMagic2
20,StoreMagic
21,gongxifantan
22,gongjiwuxiao
23,gongjixishou
24,RecoveryTe
25,RecoveryTe
26,RecoveryHp
27,CleanTe
28,gongxifantan
29,gongjiwuxiao
30,gongjixishou
31,WitchcraftSc
32,Sound_wushu
33,PhysicalSc
34,jjbeng
35,PoisoningTe
36,PoisoningTe
37,DrunkTe
38,IncanterSc
39,ButtonClick
40,closeUI
41,openUI
42,Assignment
43,castdiamond
44,castgold
45,EnterBattle
46,friendmes
47,Grabpetfail
48,GrabpetTe
49,IncanterSc
50,LuckdrawTen
51,TaskFinish
52,huodewupin
