KEY,CH,EN
serverShutdown,"服务器停机维护.",""
quit,"退出",""
sysNotice,"系统公告",""
dataSyncing,"数据同步中",""
connectionSuccess,"连接成功",""
connectionFailed,"连接失败",""
connectionTimeout,"连接超时",""
connectionErr,"连接出现问题,请重新连接",""
pullServInfoFailed,"获取服务器信息失败",""
NetworkNoReach,"无网络连接，请检查网络环境后点击确定",""
NetworkLag,"重新连接中",""
NetworkShutdown,"连接已断开，点击确定重连",""
BattleInitErr,"战斗数据错误，将尝试重新初始化",""
BattleSceneInitErr,"战斗场景初始化错误，点击确定将尝试重新初始化",""
RPCErr,"版本过低，请更新版本",""
SelectServ,"请选择服务器",""
NoSymbol,"不能使用特殊字符",""
lbcount,"{n}次",""
Level,"级",""
reminfuzuzhang,"只能任命两位副族长",""
renmingzhanglao,"只能任命四位长老",""
renmingjingying,"只能任命十二位精英",""
Quest_Finish,"(已完成)",""
ConfirmQuit,"是否退出游戏？",""
PT_NoSleep,"抗昏睡",""
PT_NoPetrifaction,"抗石化",""
chatName,"[url={t1},{t2},{t3}][29fff2][{t4}][-]",""
PT_NoDrunk,"抗酒醉",""
PT_NoChaos,"抗混乱",""
PT_NoForget,"抗遗忘",""
PT_NoPoison,"抗毒",""
PT_Assassinate,"暗杀",""
PT_Stama,"体力",""
PT_Strength,"力量",""
PT_Power,"强度",""
PT_Speed,"速度",""
PT_Magic,"魔法",""
PT_Durability,"耐久",""
PT_HpCurr,"",""
PT_MpCurr,"",""
PT_HpMax,"生命值",""
PT_MpMax,"魔法值",""
PT_Attack,"攻击力",""
PT_Defense,"防御力",""
PT_Agile,"敏捷",""
PT_Spirit,"精神",""
PT_Reply,"回复",""
PT_Magicattack,"魔攻",""
PT_Magicdefense,"抗魔",""
PT_SneakAttack,"偷袭属性",""
PT_Damage,"伤害",""
PT_Hit,"命中",""
PT_Dodge,"闪避",""
PT_Crit,"必杀",""
PT_counterpunch,"反击",""
PT_Wind,"风",""
PT_Land,"地",""
PT_Water,"水",""
PT_Fire,"火",""
PT_MagicCurrency,"魔力币",""
IMT_Equip,"装备" 
IMT_Consumables,"消耗品"
IMT_Employee,"伙伴卡"
IMT_Quest,"任务道具"
IMT_EmployeeEquip,"伙伴装备",""
compoundNot,"材料不足",""
mining,"采集中",""
gather,"开集",""
JT_Newbie,"初心者",""
JT_Axe,"佣兵",""
JT_Sword,"剑士",""
JT_Knight,"骑士",""
JT_Archer,"猎人",""
JT_Fighter,"武僧",""
JT_Ninja,"刺客",""
JT_Feeder,"德鲁伊",""
JT_Animal,"驯兽",""
JT_Mage,"法师",""
JT_Sage,"牧师",""
JT_Wizard,"巫师",""
JT_Word,"咒术",""
arenaWin,"赢",""
likaiduiwu,"离开了队伍",""
arenaFail,"败",""
equipLevel,"需要30级!"
levelopen,"{n}级开启",""
sneakAttack,"偷袭",""
surpriseAttack,"被偷袭",""
huodongkaiqi,"活动开启了",""
bagsellall,"确认出售物品?",""
addprop,"是否保存加点?",""
learSkill,"是否学习该技能?",""
shopbuyitem,"购买{n}个{n1}\n消耗{n2}",""
addfriend,"是否添加 {n} 为好友?",""
addfriendok,"添加好友成功",""
delfriend,"是否删除该好友?",""
delfriendOk,"删除好友成功",""
delback,"是否移出黑名单?",""
alreadyhave,"该玩家已是好友!","" 
alreadyhaveback,"该玩家已存在黑名单里",""
addback,"是否添加 {n} 为黑名单?",""
addbackok,"添加黑名单成功",""
delbackok,"移出黑名单成功",""
learnNewSkill,"是否学习新的技能",""
learnSuccess,"学习成功",""
cannotLearnSkill,"你学习不了当前技能",""
skillNotMatchJob,"当前技能与职业不匹配",""
skillDontReplace,"该技能不能替换",""
IsReplaceSkill,"是否替换当前技能为新的技能",""
nofindplayer,"系统找不到该玩家",""
battleTurn,"第 {n} 回合",""
RT_Human,"人系",""
RT_Animal,"动物系",""
RT_Insect,"昆虫系",""
RT_Extra,"特殊系",""
RT_Plant,"植物系",""
RT_Dragon,"龙系",""
RT_Fly,"飞行系",""
RT_Undead,"不死系",""
RT_Metal,"金属系",""
IST_Axe,"斧子",""
IST_Sword,"剑",""
IST_Spear,"枪",""
IST_Bow,"弓",""
IST_Stick,"杖",""
IST_Knife,"小刀",""
huifumo,"",""
IST_V,"回力标",""
IST_Hat,"帽子",""
IST_Helmet,"头盔",""
IST_Clothes,"衣服",""
IST_Robe,"袍",""
IST_Armor,"铠甲",""
IST_Boot,"靴子",""
IST_Shoes,"鞋子",""
IST_Shield,"盾",""
IST_Blood,"回复药",""
IST_Buff,"存储回复药",""
nomoney,"金币不足",""
nodiamond,"钻石不足",""
NoMoreDiamond,"钻石不足",""
cannotopen,"开启条件不足",""
getitem,"获得了物品：{n}",""
getitemwupin,"获得了{n1}个{n}",""
xiaohaoitemwupin,"消耗了{n1}个{n}",""
yiyouduiwu,"您当前有队伍",""
duiyuanyiman,"队员已满",""
delitem,"使用物品{n}",""
Finish,"完成度",""
huifu,"回复了{n}",""
hundrednum,"第 {n} 层",""
gatherthis,"是否采集此物品?",""
EN_VersionNotMatch,"版本不对",""
EN_AccountNameSame,"账户错误",""
EN_PlayerNameSame,"玩家名字不合规范或已被占用",""
EN_PlayerIsInTeam,"该玩家已经有队伍了",""
EN_CannotfindPlayer,"该玩家当前不在线",""
EN_AcceptQuestNotFound,"没有这个任务",""
EN_AcceptQuestNoItem,"接任务没有道具",""
EN_AcceptSecendDaily,"你已经接取了一个日常任务，请不要重复接取",""
EN_AcceptSecendProfession,"你已经接取了一个职业任务，请不要重复接取",""
