talk,npcid1,content1,npcid2,content2,npcid3,content3,npcid4,content4,npcid5,content5,npcid6,content6,npcid7,content7,npcid8,content8,npcid9,content9,npcid10,content10,BattleID
1,1,您就是来自聂拉威尔王城的#name#大人吧，我在这里恭候多时了。,-1,你怎么知道我是谁？,1,比莫夫村长是无所不知的，他知道您要来，不过他在此之前，给您了一个考验。,-1,什么考验。,1,老英雄佩普的四位学生正在前边等您，他们将会向您展示强大的力量。通过考验后请去找老英雄佩普。,-1,那么我会拭目以待的。,,,,,,,,,1
2,1,我最喜欢站在村口，看着过往的旅人。,,,,,,,,,,,,,,,,,,,
3,-1,我现在算是踏入冒险者之道了吧。,2,嗯，#name#大人，您真的很了不起。,,,,,,,,,,,,,,,,,
4,2,#name#大人，请您清除一下这附近的盗匪吧，虽然他们的首领死了，但是他们还是总在这附近游荡。,-1,嗯，交给我好了。,,,,,,,,,,,,,,,,,
5,-1,搞定了。,1,真是太感谢您了，#name#大人。,,,,,,,,,,,,,,,,,
6,1,#name#大人，您现在可以去见比莫夫村长了。,-1,太好了，我这就前去找村长。,1,好的，想必他也正在等着您。,,,,,,,,,,,,,,,
7,1,#name#大人，您怎么还在这里？不打算去找比莫夫村长了吗？,,,,,,,,,,,,,,,,,,,
8,-1,原来您就是比莫夫老人吗？我是#name#，来自聂拉维尔王城的冒险者，克里斯王托我找寻格拉之泪……,2,克里斯王曾经委托过很多冒险者来我这里打探格拉之泪的消息，而你，算是最无名的，想要知道格拉之泪的消息，就先帮我做一些事情。,-1,我可是刚刚帮助您赶走前来抢劫的盗匪呀。,2,对于那件事，我十分感谢你，然后接下来，你要不要帮我做事？,-1,……（这个老家伙！）,,,,,,,,,,,
9,2,你知道软泥怪吗？,-1,这种宠物在贝伦大陆随处可见，我怎么会不知道。,2,软泥怪身体中产出的精华素可是非常不错的炼金元素，有人现在就需要软泥精华，你去帮我弄一些回来吧。,-1,好吧，这并不是什么难事。,2,拿到软泥怪精华后，将这些东西交给大贤者玛丽安娜，她正需要这些东西。,,,,,,,,,,,
10,2,完不成我交托的任务，就不要回来见我。,,,,,,,,,,,,,,,,,,,
11,-1,您就是大贤者玛丽安娜吧？这是您要的软泥精华。,207,很好，把它们交给我吧，你就是那个聂拉维尔的冒险者？那么我应该给你一些帮助。,-1,太好了，我正需要帮助。,207,你需要英雄伙伴的帮助，酒馆就是这些英雄伙伴的聚集地，现在我就让你见识一下酒馆的英雄吧。,,,,,,,,,,,,,
12,207,你现在拥有了英雄伙伴，去见识一下英雄伙伴的力量吧。,-1,我该怎么做？如何见证英雄伙伴的力量？,207,村子里有一个捣蛋鬼，带着你的英雄伙伴，去教训一下捣蛋鬼吧，赶走捣蛋鬼，你就可以回去见比莫夫村长了。,-1,好的，我明白了。,,,,,,,,,,,,,
13,-1,比莫夫村子，我已经与玛丽安娜大人见过面了，她说我可以来见您了。,2,我现在就告诉你，格拉之泪，传说为创世神格拉的眼泪所幻化而成的宝石，它是真正的无价之宝，传说格拉之泪能够延年益寿。,-1,这只是传说中的宝物吗？现实里它存在吗？,2,愚蠢！你觉得创世神格拉只是传说中的人物吗？他可是真正开创了贝伦大陆的至高神，是在贝伦大陆上真实存在过的王者！,,,,,,,,,,,,,
14,-1,接下来我该如何做呢？,2,接下来我将教导你成真正的冒险者，跟着指引前进吧！,2,我将给予你一个试炼，这附近的盗匪非常猖獗，你去击败他们的首领吧，这样盗匪就不敢骚扰伊利斯村了。,-1,好的，我会完成任务的。,,,,,,,,,,,,,
15,200,只要拥有了真正的冒险职业，那么才算真正踏入冒险者之道。,,,,,,,,,,,,,,,,,,,
16,-1,我已经准备好了。,200,很好，很好，那么我就教导你真正的冒险者之道吧。,,,,,,,,,,,,,,,,,
