TitleId,Desc,MinReputation,MaxReputation
1,恶人,-999999,-3000
2,受忌讳的人,-2999,-2000
3,受挫折的人,-1999,-1000
4,落落无闻,-999,1999
5,初露锋芒,2000,4999
6,崭露头角,5000,9999
7,锋芒毕露,10000,19999
8,名声四起,20000,32999
9,富有美誉,33000,49999
10,闻名一方,50000,69999
11,名动四方,70000,99999
12,声名远扬,100000,129999
13,名扬四海,130000,159999
14,威震天下,160000,999999
15,法兰一级支援者,0,0
16,不幸的人,0,0
17,露比的忠实仆人,0,0
18,魔大一阶战士,0,0
19,魔大二阶战士,0,0
20,魔大三阶战士,0,0
21,魔大高阶战士,0,0
22,魔大战士师范,0,0
23,魔大战圣,0,0
24,魔大战神,0,0
25,强袭机动战士,0,0
26,强袭机动战士,0,0
27,强袭机动战士,0,0
28,强袭机动战士,0,0
29,女骑士勇士,0,0
30,王者之风,0,0
31,被幸福包围的人,0,0
32,被神域信赖的人,0,0
33,哥布林讨伐者,0,0
34,哥布林讨伐者,0,0
35,牛鬼讨伐者,0,0
36,捉迷藏超强铁人,0,0
37,兰国八等勋章,0,0
38,艾尔巴八等勋章,0,0
39,艾尔巴/兰国六等勋章,0,0
40,兰国五等勋章,0,0
41,艾尔巴五等勋章,0,0
42,魔鬼克星,0,0
43,兰国四等勋章,0,0
44,艾尔巴四等勋章,0,0
45,永远的魔力宝贝,0,0
46,无尽的力量,0,0
47,不竭的思想,0,0
48,怀旧pk赛冠军,0,0
49,怀旧pk赛亚军,0,0
50,怀旧pk赛季军,0,0
51,怀旧pk赛殿军,0,0
52,怀旧pk赛八强,0,0
53,怀旧pk赛十六强,0,0
54,pk赛中量级冠军,0,0
55,pk赛中量级亚军,0,0
56,pk赛中量级季军,0,0
57,pk赛中量级殿军,0,0
58,pk赛中量级八强,0,0
59,pk赛中量级十六强,0,0
60,pk赛重量级冠军,0,0
61,pk赛重量级亚军,0,0
62,pk赛重量级季军,0,0
63,pk赛重量级殿军,0,0
64,pk赛重量级八强,0,0
65,pk赛重量级十六强,0,0
66,贝伦初心者,0,0
67,天生杀人狂,0,0
68,无尽杀戮,0,0
69,驯养专家,0,0
70,狩猎初体验,0,0
71,狩猎之神,0,0
72,英雄为伴,0,0
73,英雄会长,0,0
74,英雄启程,0,0
75,决斗之路,0,0
76,战无不胜,0,0
77,小小的尝试,0,0
78,土豪,0,0
79,有钱！任性！,0,0
80,买,0,0
81,买买买！,0,0
82,散财童子,0,0
83,战术素养,0,0
84,单项极致,0,0
85,饲养达人,0,0
86,结交朋友,0,0
87,社交达人,0,0
88,初杀菜鸟,0,0
89,千人斩,0,0
90,铜墙铁壁,0,0
91,动如脱兔,0,0
92,无坚不摧,0,0
93,攻无不克,0,0
94,巧手,0,0
95,荣誉满天下,0,0
96,初阶神器,0,0
97,中阶神器,0,0
98,高阶神器,0,0
99,大师神器,0,0
100,史诗神器,0,0
101,传奇神器,0,0
