ArchitectureID,Level,NeedMoney,Name,ICON,Desc,Number,Reward,Type
1,1,100000,家族大厅,jiazu_jiazudating,家族的核心建筑，决定其他家族等级上限，升级后可以提升成员人数。,35,,GBT_Main
1,2,500000,家族大厅,jiazu_jiazudating,家族的核心建筑，决定其他家族等级上限，升级后可以提升成员人数。,40,,GBT_Main
1,3,1000000,家族大厅,jiazu_jiazudating,家族的核心建筑，决定其他家族等级上限，升级后可以提升成员人数。,45,,GBT_Main
1,4,2000000,家族大厅,jiazu_jiazudating,家族的核心建筑，决定其他家族等级上限，升级后可以提升成员人数。,50,,GBT_Main
1,5,3000000,家族大厅,jiazu_jiazudating,家族的核心建筑，决定其他家族等级上限，升级后可以提升成员人数。,55,,GBT_Main
1,6,5000000,家族大厅,jiazu_jiazudating,家族的核心建筑，决定其他家族等级上限，升级后可以提升成员人数。,60,,GBT_Main
1,7,8000000,家族大厅,jiazu_jiazudating,家族的核心建筑，决定其他家族等级上限，升级后可以提升成员人数。,65,,GBT_Main
1,8,12000000,家族大厅,jiazu_jiazudating,家族的核心建筑，决定其他家族等级上限，升级后可以提升成员人数。,70,,GBT_Main
1,9,20000000,家族大厅,jiazu_jiazudating,家族的核心建筑，决定其他家族等级上限，升级后可以提升成员人数。,75,,GBT_Main
1,10,0,家族大厅,jiazu_jiazudating,家族的核心建筑，决定其他家族等级上限，升级后可以提升成员人数。,80,,GBT_Main
2,1,20000,家族银行,jiazu_jiazuyinhang,家族资金存储的地方，等级越高，家族资金存储数量越多，需要优先升级。,200000,,GBT_Bank
2,2,100000,家族银行,jiazu_jiazuyinhang,家族资金存储的地方，等级越高，家族资金存储数量越多，需要优先升级。,800000,,GBT_Bank
2,3,200000,家族银行,jiazu_jiazuyinhang,家族资金存储的地方，等级越高，家族资金存储数量越多，需要优先升级。,1500000,,GBT_Bank
2,4,400000,家族银行,jiazu_jiazuyinhang,家族资金存储的地方，等级越高，家族资金存储数量越多，需要优先升级。,2500000,,GBT_Bank
2,5,600000,家族银行,jiazu_jiazuyinhang,家族资金存储的地方，等级越高，家族资金存储数量越多，需要优先升级。,4000000,,GBT_Bank
2,6,1000000,家族银行,jiazu_jiazuyinhang,家族资金存储的地方，等级越高，家族资金存储数量越多，需要优先升级。,6000000,,GBT_Bank
2,7,1600000,家族银行,jiazu_jiazuyinhang,家族资金存储的地方，等级越高，家族资金存储数量越多，需要优先升级。,10000000,,GBT_Bank
2,8,2400000,家族银行,jiazu_jiazuyinhang,家族资金存储的地方，等级越高，家族资金存储数量越多，需要优先升级。,15000000,,GBT_Bank
2,9,4000000,家族银行,jiazu_jiazuyinhang,家族资金存储的地方，等级越高，家族资金存储数量越多，需要优先升级。,20000000,,GBT_Bank
2,10,0,家族银行,jiazu_jiazuyinhang,家族资金存储的地方，等级越高，家族资金存储数量越多，需要优先升级。,40000000,,GBT_Bank
3,1,20000,家族商店,jiazu_jiazushangdian,远洋而来的商人开设的商店，商店等级越高，售卖物品和珍惜度越高。,2,,GBT_Shop
3,2,100000,家族商店,jiazu_jiazushangdian,远洋而来的商人开设的商店，商店等级越高，售卖物品和珍惜度越高。,2,,GBT_Shop
3,3,200000,家族商店,jiazu_jiazushangdian,远洋而来的商人开设的商店，商店等级越高，售卖物品和珍惜度越高。,2,,GBT_Shop
3,4,400000,家族商店,jiazu_jiazushangdian,远洋而来的商人开设的商店，商店等级越高，售卖物品和珍惜度越高。,4,,GBT_Shop
3,5,600000,家族商店,jiazu_jiazushangdian,远洋而来的商人开设的商店，商店等级越高，售卖物品和珍惜度越高。,4,,GBT_Shop
3,6,1000000,家族商店,jiazu_jiazushangdian,远洋而来的商人开设的商店，商店等级越高，售卖物品和珍惜度越高。,4,,GBT_Shop
3,7,1600000,家族商店,jiazu_jiazushangdian,远洋而来的商人开设的商店，商店等级越高，售卖物品和珍惜度越高。,6,,GBT_Shop
3,8,2400000,家族商店,jiazu_jiazushangdian,远洋而来的商人开设的商店，商店等级越高，售卖物品和珍惜度越高。,6,,GBT_Shop
3,9,4000000,家族商店,jiazu_jiazushangdian,远洋而来的商人开设的商店，商店等级越高，售卖物品和珍惜度越高。,6,,GBT_Shop
3,10,0,家族商店,jiazu_jiazushangdian,远洋而来的商人开设的商店，商店等级越高，售卖物品和珍惜度越高。,6,,GBT_Shop
