PFID,PFNAME,ORDERID,ACCOUNTID,PAYMENT
10057,uc,PB839716111010162286825,8bb40f7cbbcac7f0c6d80b956537b382,30
10057,uc,PB839716111010184461390,41515921707b06305775ccb54767c48a,6
10057,uc,PB839716111010195332730,448b7df1f9b2cb01a24af0358ca7988a,6
10057,uc,PB839716111010233468191,ac9df802f3a345b0e36cfff2bf7f392a,6
10057,uc,PB839716111010272308988,325379a271cfcdcfd2dccf16e37765a0,6
10057,uc,PB839716111010303383655,a5a840cc7fb04d686989bbfd6e713cf0,30
10057,uc,PB839716111010322014481,e5b8d5d9ac086b6311ac7016243dbf47,6
10057,uc,PB839716111010322209377,e84f8a9877aec065d324d0b091ebcb52,6
10057,uc,PB839716111010320338811,a5a840cc7fb04d686989bbfd6e713cf0,6
10376,TXYSDK,PB839716111010321443327,D113E3C084A544539639D87FD25A796F,6
10057,uc,PB839716111010342288163,7a427b1fbb25aa0fa7734e24ccee5a34,60
10057,uc,PB839716111010351229121,c11fcae8a33ace4c52a6cfb5cc57c7a0,6
10113,downjoy,PB839716111010353044891,2281152898330,60
10113,downjoy,PB839716111010355924755,2281152898330,648
10057,uc,PB839716111010370117565,1c63cc721461d34b6d66e9812a3ef2f5,198
10057,uc,PB839716111010374750183,829fb7636a62eb46f1399ce16a02d71a,6
10057,uc,PB839716111010385635933,1c63cc721461d34b6d66e9812a3ef2f5,6
10057,uc,PB839716111010381521683,f767351326ee71c06f04f608af9d655d,6
10113,downjoy,PB839716111010425544656,862330884344,6
10057,uc,PB839716111010433531810,e70698724e02ba17996201d1e63e2991,6
10057,uc,PB839716111010434116779,16c162e000b06791145d6251b8edfd76,6
10057,uc,PB839716111010444064057,455cb0b518f346cbbb8bf660c0e76c63,6
10057,uc,PB839716111010480116512,1f1bd2c06bea7a69cdeeb85e48c84953,6
10057,uc,PB839716111010520957771,39488b69960d03507ac4225ac45bb597,6
10057,uc,PB839716111010530819813,7a427b1fbb25aa0fa7734e24ccee5a34,6
10143,huawei,PB839716111010544208581,900086000023161900,6
10057,uc,PB839716111010572704054,912b071fff2c12bd117add0e8bed4a28,6
10113,downjoy,PB839716111010574405354,3383297588094,6
10376,TXYSDK,PB839716111010583359435,BB5E0465B7789B52967590FA6F8AA065,6
10057,uc,PB839716111011015937733,1b291f1f526c91628a45a4b12d9197a8,6
10057,uc,PB839716111011025984197,2404eaf3f29aaba72df16c9d99bcf594,6
10057,uc,PB839716111011024232721,2655d216a90279341b1da5918da8e901,6
10100,vivo,PB839716111011045011881,16c841419b40f078,6
10057,uc,PB839716111011051486569,5144ca8f0ead4c0741b3c119d267dc0a,6
10057,uc,PB839716111011082211954,86c98833d6149353a0541d05984b9875,6
10057,uc,PB839716111011104311240,bd350235ba4007596f65196930e1de71,6
10057,uc,PB839716111011105177586,66edd1a6ec9fbcff0c3f0a0595388ba4,6
10057,uc,PB839716111011114324251,1256ca0c99edf6d31a41030bc82ad3c8,6
10057,uc,PB839716111011112970860,8f0c377860e5e6b1c2a9984be762e617,6
10113,downjoy,PB839716111011112794034,393489206400,6
10057,uc,PB839716111011125690218,2e3e11138964465375d00afbf3aa82dc,6
10057,uc,PB839716111011133564729,cbe3c80d7d80a505ef7899ff7b61a856,30
10100,vivo,PB839716111011164165068,ee4e07e10e6b2684,60
10057,uc,PB839716111011163601315,6aaaaa477a229b3c3362b24b1536c199,6
10057,uc,PB839716111011165460055,8bd44d9b34051ad3f60745a76f62a76e,6
10057,uc,PB839716111011171207762,7c5e21dbdd5357eaa7bec91f2ff75b67,60
10143,huawei,PB839716111011183705723,350086000115157554,6
10057,uc,PB839716111011184879410,7c5e21dbdd5357eaa7bec91f2ff75b67,6
10057,uc,PB839716111011202158946,fbabdb7df3df7356a180056f675033d9,6
10376,TXYSDK,PB839716111011204244692,omgF9v19d82sIozDmKzXZQtzzhOg,6
