ID,Name,isshow,ItemMainType,ItemSubType,EquipmentSlot,WeaponType,WeaponEntityId,NeedMoney,Price,Level,Icon,Quality,Profession,Rank,MaxCount,From,AddValue,Desc,,skillID,GloAction,Durability,HpMax,MpMax,HpCurr,MpCurr,Attack,Defense,Agile,Spirit,Reply,Hit,Dodge,Crit,counterpunch,Magicattack,Magicdefense,NoSleep,NoPetrifaction,NoDrunk,NoChaos,NoForget,Wind,Land,Water,Fire,PT_SneakAttack,Poison,RaceType,InfluenceSkill,Coefficient,EmployeeId,CanUse,AttackAction,Title,Weapon_D,Weapon_P,Armor_D,Armor_P,AcquiringWay,ArtifactExp
1000,长剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,2000,31,1,jian1a_icon,QC_White,,,1,,,坚固的巨大宽剑,,,,750;900,,,,,12;24,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,5
1001,阔剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,2000,31,1,jian1b_icon,QC_Green,,,1,,,坚固的宽铁剑,,,,750;900,,,,,18;36,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,10
1002,突刺剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,2000,38,2,jian2a_icon,QC_Green,,,1,,,十分细长的细剑,,,,750;900,,,,,24;48,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,15
1003,火舌剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,2000,38,2,jian2b_icon,QC_Blue,,,1,,,拥有火焰形状的剑身，威力强大的剑,,,,750;900,,,,,33;60,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,20
1004,面包剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,2000,57,3,jian3a_icon,QC_Green,,,1,,,长柄的剑，不但很重也很坚固,,,,750;900,,,,,43;72,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,25
1005,双手剑,1,IMT_Equip,IST_Sword,ES_DoubleHand,WT_Sword,1002,2000,57,3,jian3b_icon,QC_Blue,,,1,,,柄很长的两手持大剑,,,,750;900,,,,,50;84,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,30
1006,双刃长剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,2000,94,4,jian4a_icon,QC_Green,,,1,,,细长ˋ剑身宽、而且又锐利的两刃剑,,,,750;900,,,,,62;96,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,35
1007,锁刃剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,2000,94,4,jian4b_icon,QC_Blue,,,1,,,为了用来造其他剑的特殊剑,,,,750;900,,,,,70;109,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,40
1008,格斗剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,2000,155,5,jian5a_icon,QC_Blue,,,1,,,适用于对战的改良宽剑,,,,750;900,,,,,84;120,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,45
1009,长锷剑,1,IMT_Equip,IST_Sword,ES_DoubleHand,WT_Sword,1002,2000,155,5,jian5b_icon,QC_Purple,,,1,,,容易携带且重防御的长柄两手剑,,,,750;900,,,,,92;132,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,50
1010,黑作太刀,1,IMT_Equip,IST_Sword,ES_DoubleHand,WT_Sword,1002,,155,5,jian5c_icon,QC_Purple,,,1,,,不加装饰，实战用的直刀。因黑漆涂制的刀鞘而得名,,,,750;900,,,,,94;134,,1;5,,,2;2,1;1,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,55
1011,猪牙剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,,246,6,jian6a_icon,QC_Blue,,,1,,,剑身像猪牙的细剑,,,,750;900,,,,,108;144,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,60
1012,双刃阔剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,,246,6,jian6b_icon,QC_Purple,,,1,,,剑身宽广的短剑,,,,750;900,,,,,117;156,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,65
1013,巨剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,,373,7,jian7a_icon,QC_Blue,,,1,,,单手可斩击，双手可突击的战斗实用剑,,,,750;900,,,,,125;170,,,,,10;10,-5;-5,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,70
1014,长军刀,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,,373,7,jian7b_icon,QC_Purple,,,1,,,剑身宽广的防御剑,,,,750;900,,,,,135;180,,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,75
1015,水龙之剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,,373,7,jian7c_icon,QC_Purple,,,1,,,寄宿有海神的魔力的剑,,,,900;900,,,,,210;210,,5;5,,,2;2,2;2,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,80
1016,护身短剑,1,IMT_Equip,IST_Sword,ES_SingleHand,WT_Sword,1002,,542,8,jian8a_icon,QC_Blue,,,1,,,装饰过度的防身用短剑,,,,750;900,,-200;-200,,,225;230,-50;-50,,,,,,,,,,,,,,,,,,,,,,,,,IUF_All,WAT_Chop,,,,,,装备锻造获得,85
